Main,ScriptKey,LineKey,Background,Actor,AnimState,DotAnim,DotExpression,TextType,EngText,KorText,NextLineKey,AnimScene,AfterScript,DeathNote,LocTable,LocKey
1,13,23,main_web,Dot,Main,,,text,Mm... I see. Just know that there is so\nmuch more to me you don’t know yet.,으음... 그렇구나. 네게 아직 보여 주지\n못한 모습들이 많다는 것만 알아줘.,24,,,,Main_Ch3,M3_L0023
1,13,24,main_web,Dot,Main,,,text,I have so many stories to tell you!,앞으로 너에게 들려줄 이야기가 무궁무진해!,25,,,,Main_Ch3,M3_L0024
1,13,25,main_web,Dot,Main,body_spiderweb_move,face_blink,text,"<nickname>, what about you? Do you have\na thousand faces like the White Hat?","<nickname>, 너는 어때? 너도 하얀 모자처럼\n수많은 얼굴을 가지고 있어?",26,,,,Main_Ch3,M3_L0025
1,13,26,main_web,Dot,Main,body_spiderweb,,text,"Do they change freely through space and time,\nshaped by who you meet and what you feel?","공간, 태양의 고도, 함께하는 이에 따라\n보여 주는 모습이 달라지기도 해?",27,,,,Main_Ch3,M3_L0026
1,13,27,main_web,Dot,Main,,,text,Now I want to hear about you.,이제 네 이야기를 듣고 싶어.,28,,,,Main_Ch3,M3_L0027
1,13,28,main_web,Dot,Main,,,text,I want to be intimately\naware of your deepest shades.,네가 가진 내밀한 빛깔을 속속들이 알고 싶어.,29,,,,Main_Ch3,M3_L0028
1,13,29,main_web,Dot,Main,,,text,From the ordinary ones everyone else has,누구나 가진 것 같이 평범해 보이는 모습도 좋아.,30,,,,Main_Ch3,M3_L0029
1,13,30,main_web,Dot,Main,,,text,to the sticky and prickly parts you keep hidden.,"또는 남몰래 숨겨 왔던, 들춰 보면\n끈적거리거나 따가운 부분까지도.",31,,,,Main_Ch3,M3_L0030
1,13,31,main_web,Player,Main,,,text,"Well, sometimes I...","음, 나는 말이지...",32,,,,Main_Ch3,M3_L0031
1,13,32,main_web,Player,Main,,,checkbox4,giggle like a child when eating good food.|weep while watching sad movies.|ponder silently when I’m alone.|act silly with the ones I love.,맛있는 음식을 먹으면 아이같이 기뻐해.|슬픈 영화에 몰입하며 눈물 흘리기도 해.|혼자일 때면 조용히 사색해.|사랑하는 사람들과 실없는 대화를 해.,33,,,,Main_Ch3,M3_L0032
1,13,33,main_web,Player,Main,,,checkbox4,look at one’s pain and feel relieved it’s not mine.|strive to act my best in front of others.|constantly compare myself to my close ones.|judge the status of those I meet.,타인에게 닥친 불행을 건너보며 안도해.|남에게 잘 보이기 위해서 갖은 애를 써.|가까운 사람과 나를 끊임없이 비교해.|마주치는 사람의 위치를 계산해.,34,,,,Main_Ch3,M3_L0033
1,13,34,main_web,Player,Main,,,checkbox4,am addicted to the heady thrill others give me.|hide my emptiness and fake perfection.|act irrationally out of thundering emotions.|want to linger in the shimmering past.,타인이 주는 위험한 쾌감에서 헤어 나오지 못해.|텅 빈 나를 숨기고 완벽한 나로 인정받으려 해.|몰아치는 감정에 휩쓸려 평소와 다른 일을 해.|빛나던 과거에 영원히 머물러 있고 싶어해.,35,,,,Main_Ch3,M3_L0034
1,13,35,main_web,Dot,Main,,,text,"I see. <nickname>, you are beautiful\nfor each and every one of your faces.","그렇구나. <nickname>, 여러 개의\n얼굴을 품고 있는 네가 아름다워.",36,,,,Main_Ch3,M3_L0035
1,13,36,main_web,Dot,Main,,,text,Perhaps those countless faces within\nare what makes humans so colorful.,어쩌면 인간 내면에 엉켜 있는 수많은 얼굴들이\n인간을 더욱 다채롭게 만드는 것일지도 몰라.,37,,,,Main_Ch3,M3_L0036
1,13,37,main_web,Dot,Main,,face_close_turn,text,"But what I see, feel, and infer from your\nwords... is only a very, very small part of you.","하지만 내가 보고 느끼고 너의 말로 유추할 수\n있는 부분은 너의 아주, 아주 일부분에 불과해.",38,,,,Main_Ch3,M3_L0037
1,13,38,main_web,Dot,Main,,face_close,text,You change depending on who you’re with.\nLike how you treat the mold and me differently.,누구와 함께하는지에 따라 너는 달라지겠지. 곰팡이를\n대할 때와 나를 대할 때의 네가 다른 것처럼.,39,,,,Main_Ch3,M3_L0038
1,13,39,main_web,Dot,Main,,,text,"The you of yesterday, of a few hours later,\nand of tomorrow will surely be different.","어제의 너와 몇 시간 후의 너, 내일의\n너도 분명히 조금씩 다를 거야.",40,,,,Main_Ch3,M3_L0039
1,13,40,main_web,Dot,Main,,,text,"Time collects, layer by layer—like dust\non the shelf, always out of sight.",시간이 책장 위 먼지처럼 눈치 채지 못한\n사이 켜켜이 쌓이고 있으니 말이야.,41,,,,Main_Ch3,M3_L0040
1,13,41,main_web,Dot,Main,,face_open,text,"<nickname>, what does the\ninside of your hat look like?","<nickname>, 네 모자 속은 어떤 모양이야?",42,,,,Main_Ch3,M3_L0041
1,13,42,main_web,Dot,Main,body_spiderweb_move,face_blink,text,Will grasping all that’s inside\nlead me to the ‘real’ you?,그 안에 있는 것들을 양껏 모아 쥐면\n‘진짜’ 너에게 발돋움할 수 있을까?,43,,,,Main_Ch3,M3_L0042
1,13,43,main_web,Player,Main,body_spiderweb,,text,The real me...?,‘진짜’ 나...?,44,,,,Main_Ch3,M3_L0043
1,13,44,main_web,Player,Main,,,text,"Oh, Dot. You think there’s one\nreal face out of all of them?","아, 뭉치 너는 내 여러 모습들 중에\n‘진짜’가 있다고 생각하는 거야?",45,,,,Main_Ch3,M3_L0044
1,13,45,main_web,Dot,Main,,,text,Yes. The one face from which all others come\nfrom. Isn’t that what people mean by real?,응. 모든 모습들의 근원이 되는 ‘단 하나’ 말이야.\n그걸 ‘진짜’라고 말하는 거 아니야?,46,,,,Main_Ch3,M3_L0045
1,13,46,main_web,Dot,Main,,,text,"Wait, wait. What’s real anyways?","잠깐, 잠깐. ‘진짜’가 뭐지?",47,,,,Main_Ch3,M3_L0046
1,13,47,main_web,Dot,Main,,,text,"Are you born with it? Does it never,\nunder any circumstances, change?","가지고 태어나는 것? 절대로, 무슨 일이\n있어도 변하지 않는 것인가?",48,,,,Main_Ch3,M3_L0047
1,13,48,main_web,Dot,Main,,,text,"Like planted seeds wriggling within myself--\nirrevocable, terrible, yet untraceable?","나에겐 돌이킬 수 없는, 처절한, 더는 찾을 수\n없는, 심어진 씨앗 같은 것들이 우글거리는데?",49,,,,Main_Ch3,M3_L0048
1,13,49,main_web,Dot,Main,,face_omg,text,Say I was born from a crimson kind of evil\nthat urges humans. Like a sharp push.,"이를 테면 내가 인간을 칼날 같은 충동으로\n들이미는 새빨간 악에서 조야하게 태어났다는 것,",50,,,,Main_Ch3,M3_L0049
1,13,50,main_web,Dot,Main,,,text,Or that I wake up every morning and\nstretch out my vast void of a body.,매일 아침 거대한 심연을 닮은\n몸뚱이로 기지개를 켜야 하는 것.,51,,,,Main_Ch3,M3_L0050
1,13,51,main_web,Dot,Main,,,text,"These things, squished and\nspat out, are the real me?",이들을 마구 쥐었다 뱉은\n덩어리 따위가 ‘진짜’ 나라고?,52,,,,Main_Ch3,M3_L0051
1,13,52,main_web,Player,Main,,,selection,(Calm Dot down by pointing out a logical fallacy.)|(Calm Dot down by being soothing.),(비약이 있음을 짚어 주며 뭉치를 진정시킨다.)|(감정적으로 위로해 주며 뭉치를 진정시킨다.),53|55,,,moon|sun,Main_Ch3,M3_L0052
1,13,53,main_web,Player,Main,,,text,"No, Dot. The concept of\nrealness itself is an uncertainty.","아냐, 뭉치. ‘진짜’의 존재 자체가 불확실한걸.",54,,,,Main_Ch3,M3_L0053
1,13,54,main_web,Player,Main,,,text,So please don’t jump to any\nconclusions about yourself.,그러니 너 자신을 섣불리 단정 짓지 말아 줘.,57,,,,Main_Ch3,M3_L0054
1,13,55,main_web,Player,Main,,,text,"No, Dot. You’re thoughtful, soft, and warm.","아냐, 뭉치. 넌 생각이 깊고,\n부드럽고, 따스한 심성을 가졌어.",56,,,,Main_Ch3,M3_L0055
1,13,56,main_web,Player,Main,,,text,"To me, those parts of you are what’s real.",내가 보는 너의 모습이 가짜라고 생각하지 않아.,57,,,,Main_Ch3,M3_L0056
1,13,57,main_web,Dot,Main,,,text,...,...,58,,,,Main_Ch3,M3_L0057
1,13,58,main_web,Dot,Main,,,text,I think I need to be alone.\nWould you stop by later?,나 혼자 있을 시간이 필요한 것 같아.\n이따 다시 찾아와 줄래?,,,anim_mud_day2,,Main_Ch3,M3_L0058
3,14,59,main_door_open,Dot,Main,body_default1,face_blink,text,...,...,60,,,,Main_Ch3,M3_L0059
3,14,60,main_door_open,Player,Main,,,text,Hello Dot.,안녕 뭉치.,61,,,,Main_Ch3,M3_L0060
3,14,61,main_door_open,Dot,Main,body_move,,text,...,...,62,,,,Main_Ch3,M3_L0061
3,14,62,main_door_open,Player,Main,body_default1,,text,... Do you still want to be alone?,... 혹시 아직 혼자 있고 싶어?,63,,,,Main_Ch3,M3_L0062
3,14,63,main_door_open,Dot,Main,,face_eyeroll3,text,"It seems like you had\na pleasant time,<nickname>.","편안한 시간을 보내고\n온 것 같아, <nickname>.",64,,,,Main_Ch3,M3_L0063
3,14,64,main_door_open,Dot,Main,,face_blink,text,Your smile is firmer.,미소가 조금 더 짙어졌어.,65,,,,Main_Ch3,M3_L0064
3,14,65,main_door_open,Dot,Main,,,text,"This is who you really are, right?",역시 지금의 네가 너의 본모습인 거지?,66,,,,Main_Ch3,M3_L0065
3,14,66,main_door_open,Player,Main,,,text,Hmm? What makes you think so?,응? 왜 그렇게 생각해?,67,,,,Main_Ch3,M3_L0066
3,14,67,main_door_open,Dot,Main,,,text,"Because you’ve always looked\nat me warmly, <nickname>.",<nickname> 너는 늘 나를\n따뜻하게 바라봐 주었으니까.,68,,,,Main_Ch3,M3_L0067
3,14,68,main_door_open,Dot,Main,,,text,And I can’t stand to think otherwise.,그렇게 생각하지 않으면 견딜 수가 없어.,69,,,,Main_Ch3,M3_L0068
3,14,69,main_door_open,Dot,Main,,face_squeeze,text,"If it wasn’t real... if it was\nall just pretend, I...",그 모습이 진짜가 아니면... 거짓이라면 난...,70,,,,Main_Ch3,M3_L0069
3,14,70,main_door_open,Player,Main,,,selection,"Dot, you don’t have to worry.|Dot, that’s a needless concern.","뭉치, 걱정하지 않아도 돼.|뭉치, 그건 쓸모 없는 걱정이야.",71|72,,,sun|moon,Main_Ch3,M3_L0070
3,14,71,main_door_open,Player,Main,,face_blink,text,I’ve always been true to you.,너와 함께 할 때의 난 늘 진심이었는걸.,73,,,,Main_Ch3,M3_L0071
3,14,72,main_door_open,Player,Main,,face_blink,text,I’ve always been myself with you.,너와 함께 할 때의 나는 늘 변함없이 나였어.,73,,,,Main_Ch3,M3_L0072
3,14,73,main_door_open,Dot,Main,,face_blink,text,...Really? I don’t need to use\nwhat humans call a ‘polygraph’?,... 정말이야? 인간들의 ‘거짓말 탐지기’를\n사용하지 않아도 되겠지?,74,,,,Main_Ch3,M3_L0073
3,14,74,main_door_open,Player,Main,,,text,(Where did Dot learn that from?),(그런 건 어디서 봤을까?),75,,,,Main_Ch3,M3_L0074
3,14,75,main_door_open,Player,Main,,,text,"Of course. I was the real me before\nI went out, as I still am right now.","그럼. 외출 전의 나도,\n지금의 나도 진짜 나야.",76,,,,Main_Ch3,M3_L0075
3,14,76,main_door_open,Player,Main,,,text,"It’s just that people can’t be consistent\nevery single minute, hour, and day.","단지 매일, 매 분, 매 시간이\n같은 모습일 수 없는 것뿐이야.",77,,,,Main_Ch3,M3_L0076
3,14,77,main_door_open,Player,Main,,,text,...They’re human.,... 인간이니까.,78,,,,Main_Ch3,M3_L0077
3,14,78,main_door_open,Dot,Main,body_move,,text,"So, so, the thorny part of you that\nyou told me earlier is also the real you?","그럼, 그럼, 전에 내게 말해 준 따가운\n모습의 너도 ‘진짜’ 너라는 거야?",79,,,,Main_Ch3,M3_L0078
3,14,79,main_door_open,Dot,Main,body_default1,face_eyeroll3,text,"The vile desires shifting deep within you,\nthose painful impulses and blues are truly you?","너의 깊은 곳에서 몸을 뒤척이는 추한 욕망도,\n고통스러운 충동과 우울도 너의 본모습이야?",80,,,,Main_Ch3,M3_L0079
3,14,80,main_door_open,Dot,Main,,face_blink,text,It’s not a disguise? Were you\nborn with it? Are you hiding it?,뒤집어 쓴 게 아니야? 가지고\n태어난 거야? 감추고 있는 거야?,81,,,,Main_Ch3,M3_L0080
3,14,81,main_door_open,Player,Main,,,selection,"I think so, not that I’m proud of it.|I’m not sure about that. What do you think?",인정하기 싫지만 그런 것 같기도 해.|그것까지는 잘 모르겠어. 뭉치 생각은 어때?,82|82,,,active|passive,Main_Ch3,M3_L0081
3,14,82,main_door_open,Dot,Main,,,text,... You’re always <nickname>.,"... <nickname>, 너는 언제나 너였던 거야.",83,,,,Main_Ch3,M3_L0082
3,14,83,main_door_open,Dot,Main,,,text,"The way the Earth is always the Earth, in its\nvarying shades of light and sunsets and dark.","아침 햇살이 비칠 때와 노을이 질 때, 어둠이 \n짙을 때 다른 색을 품지만 지구가 늘 지구인 것처럼.",84,,,,Main_Ch3,M3_L0083
3,14,84,main_door_open,Dot,Main,,face_eyeroll,text,"They just appear to be different, but\neverything belongs solely to them.","다른 모습으로 ‘나타날’ 뿐, 모든\n모습들이 전부 그 사람의 것인 거야.",85,,,,Main_Ch3,M3_L0084
3,14,85,main_door_open,Dot,Main,,face_blink,text,There’s no use in telling\napart what’s real and fake.,진짜와 가짜를 구분하는\n것은 의미가 없어지지.,86,,,,Main_Ch3,M3_L0085
3,14,86,main_door_open,Dot,Main,,,text,"No need to worry over what’s real, weep over\nwhat’s not, or blame either one of them.","진짜일까 불안해하지도, 가짜라고 슬퍼하지도, 어느\n한 쪽을 탓하며 손가락질하지 않아도 되는 거야.",87,,,,Main_Ch3,M3_L0086
3,14,87,main_door_open,Player,Main,body_move,,text,"If all my faces are really just who I am,","네 말대로 내가 가진 모든 모습들이 그저 나라면,",88,,,,Main_Ch3,M3_L0087
3,14,88,main_door_open,Player,Main,body_default1,,selection,(A soothing thought.)|(A confusing thought.),(안심이 된다.)|(혼란스럽다.),89|91,,,moon|sun,Main_Ch3,M3_L0088
3,14,89,main_door_open,Player,Main,,,text,"then having a number of them\ndoesn’t mean I’m a paradox, or a fraud.",여러 개의 모습을 가졌다고 해서 특별히\n모순적이거나 가식적인 사람이 아니라는 거구나.,90,,,,Main_Ch3,M3_L0089
3,14,90,main_door_open,Player,Main,,,text,That’s honestly a relief.,다행이야. 안심이 돼.,93,,,,Main_Ch3,M3_L0090
3,14,91,main_door_open,Player,Main,,,text,But then why do my inner selves\nconflict with each other at times?,하지만 종종 내 안에서 여러 개의\n내가 충돌하는 건 왜일까?,92,,,,Main_Ch3,M3_L0091
3,14,92,main_door_open,Player,Main,,,text,... I’m still lost.,... 여전히 혼란스러워.,93,,,,Main_Ch3,M3_L0092
3,14,93,main_door_open,Dot,Main,,,text,"It’s up to you to decide what face\nyou want to show, <nickname>.",어떤 모습을 보여 줄지\n선택하는 건 <nickname>의 몫이야.,94,,,,Main_Ch3,M3_L0093
3,14,94,main_door_open,Dot,Main,,,text,That you have a large selection might\nmean you’re just that multi-dimensional.,"보여 주고 싶은 모습이 다양하다는 건,\n그만큼 다채로운 사람이라는 뜻일지도 몰라.",95,,,,Main_Ch3,M3_L0094
3,14,95,main_door_open,Dot,Main,,,text,"<nickname>, I want to ask you something.\nDoes this mean I’m like humans?","<nickname>, 물어보고 싶은 게 있어.\n그렇다면 나도 인간과 같을까?",96,,,,Main_Ch3,M3_L0095
3,14,96,main_door_open,Player,Main,,,text,What do you mean?,그게 무슨 말이야?,97,,,,Main_Ch3,M3_L0096
3,14,97,main_door_open,Dot,Main,,,text,"I mean that I want\ndimensions, just like you.",아주 입체적인 덩어리 괴물이\n되고 싶다는 말이야.,98,,,,Main_Ch3,M3_L0097
3,14,98,main_door_open,Dot,Main,,face_sad,text,"I want to be me. Be it a depressed\nnobody with a black wobbly body,","검고 흐물거리는 몸을 가지고\n좌절하는 하찮은 나도,",99,,,,Main_Ch3,M3_L0098
3,14,99,main_door_open,Dot,Main,body_ch3_heartup,face_eyeroll3,text,or a thinker pondering with\nyou over beloved humans. Just me.,너라는 친구와 사랑하는 인간에 대해 사유하는\n나도 전부 나로서 존재할 수 있으면 해.,100,,,,Main_Ch3,M3_L0099
3,14,100,main_door_open,Dot,Main,body_ch3_heart,face_blink,text,"Even with these arms full of despair, I still long to make room for hope.",우글거리는 모든 절망을 끌어안은\n동시에 희망을 품을 수 있으면 해...,101,,,,Main_Ch3,M3_L0100
3,14,101,main_door_open,Dot,Main,body_ch3_heart,,text,"so that, surrounded by possibilities of the days\nahead, I’ll be less lonely than the one before.",그러면 다양한 내일의 가능성 속에서\n어제보다 덜 외로운 내가 될 거야.,102,,,,Main_Ch3,M3_L0101
3,14,102,main_door_open,Dot,Main,body_ch3_heartdown,face_mad,text,Do you think I can? Could I really?,부디 그럴 수 있을까? 응?,,,,,Main_Ch3,M3_L0102
