                        ,ScriptKey,LineKey,Background,Actor,AnimState,DotAnim,DotExpression,TextType,EngText,KorText,NextLineKey,AnimScene,AfterScript,DeathNote,LocTable,LocKey
1,31,43,main_bed,Player,Main,,face_blink,text,and work to draw closer through\na series of questions and answers.,질문과 답변의 행위로 더욱 친해지기 위해 노력하자고.,44,,,,Main_Ch6,M6_L0043
1,31,44,main_bed,Dot,Main,,face_squeeze,text,"No. No. I know. I know, but.",아니야. 아니야. 알지만. 알지만.,45,,,,Main_Ch6,M6_L0044
1,31,45,main_bed,Dot,Main,,face_squeeze,text,"But, <nickname>. Last night a vivid\nrealization struck my heart like a knife.","그렇지만, <nickname>, 어젯밤의 몽상 속에서 내\n마음을 강타했던 칼날 같은 깨달음이 하나 있어.",46,,,,Main_Ch6,M6_L0045
1,31,46,main_bed,Dot,Main,,face_blink,text,"That no matter how intricate words are, they\naren’t enough to contain you and your infinities.","아무리 세심한 언어일지라도, 그보다 훨씬\n방대한 너를 담아 내기에는 역부족인걸.",47,,,,Main_Ch6,M6_L0046
1,31,47,main_bed,Dot,Main,,face_eyeroll3,text,And... perhaps the surface is disguised\nto look nothing like what lies beneath.,그리고... 마음과 다른 표면을\n꾸며 내었는지도 모를 일이지.,48,,,,Main_Ch6,M6_L0047
1,31,48,main_bed,Dot,Main,,face_eyeroll3_stay,text,I have faith that’s not the case\nwith you... but it’s a blind one.,너는 그러지 않을 거라 믿지만... 이건\n그저 눈가리개를 찬 믿음일 뿐이니까.,49,,,,Main_Ch6,M6_L0048
1,31,49,main_bed,Dot,Main,,face_blink,text,"So just by observing the surface I won’t be able\nto gaze into your heart, or cross over to it.","그러니 난 결코 표면을 관찰하는 것만으로는 네 마음속을\n들여다볼 수도, 그 경계를 넘어갈 수도 없을 거야.",50,,,,Main_Ch6,M6_L0049
1,31,50,main_bed,Dot,Main,,face_blink,text,I won’t ever get to know you by <i>being</i> you.,결코 ‘네가 되어 보는’ 방식으로\n너를 알아갈 수는 없을 거야.,51,,,,Main_Ch6,M6_L0050
1,31,51,main_bed,Dot,Main,,face_blink,text,That will forever lie\nbeyond my grasp...,그건 영영 불가능할 거야...,52,,,,Main_Ch6,M6_L0051
1,31,52,main_bed,Player,Main,,face_blink,selection,(But solitude in its essence can’t be resolved.)|(... I can understand that solitude.),(하지만 근본적인 고독이란 원래 채워질 수 없는 거잖아.)|(... 그 갑갑한 고독을 나 역시 알 것 같아.),53|59,,,moon|sun,Main_Ch6,M6_L0052
1,31,53,main_bed,Player,Main,,face_blink,text,I remember a conversation\nwe once had.,너와 언제 이런 말을 나누었었지.,54,,,,Main_Ch6,M6_L0053
1,31,54,main_bed,Player,Main,body_move,face_blink,text,That some desires can’t be solved or fulfilled.\nThat sometimes bearing it is the only option.,채우거나 충족할 수 없는 마음도 있다고.\n그럴 땐 견디는 것만이 유일한 길이라고.,55,,,,Main_Ch6,M6_L0054
1,31,55,main_bed,Player,Main,body_default1,face_blink,text,"We’ll bear it. The wall may be unbreakable,\nbut someday we’ll learn to deal with it.","견딜 수 있을 거야. 깨지지 않는 벽이지만,\n언젠가 그 벽을 다루는 법을 알게 될 거야.",56,,,,Main_Ch6,M6_L0055
1,31,56,main_bed,Player,Main,,face_blink,text,"Time will pass, and we may draw closer\nthen ever in spite of the wall in between.","시간이 흐른 뒤, 벽을 사이에 둔 채로도\n가장 가까워진 우리를 볼 수 있을지도 몰라.",57,,,,Main_Ch6,M6_L0056
1,31,57,main_bed,Player,Main,,face_blink,text,So give us time to grow closer.,그러니까 너와 내가 가까워질 수 있는 시간을 줘.,58,,,,Main_Ch6,M6_L0057
1,31,58,main_bed,Dot,Main,,face_eyeroll3,text,"Fruitless desires. Blind faith.\nNothing is ever certain, is it.",헛된 갈망. 눈가리개를 찬 희망. 결국\n확실한 건 아무것도 없는 것이구나.,65,,,,Main_Ch6,M6_L0058
1,31,59,main_bed,Player,Main,,face_blink,text,I feel that way too sometimes.,가끔 나에게도 그런 순간이 찾아와.,60,,,,Main_Ch6,M6_L0059
1,31,60,main_bed,Player,Main,,face_blink,text,I feel stuck sometimes. Even when I’m next\nto someone that’s intimate and like me...,답답해서 가슴이 턱 막히는. 아무리\n친밀하고 비슷한 사람 옆에 있더라도...,61,,,,Main_Ch6,M6_L0060
1,31,61,main_bed,Player,Main,,face_blink,text,"If only there were someone so like me that to\nread me would be like breathing, and vice versa,","너무 닮아서 나를 자연히 독해하고, 나\n역시 그를 독해할 수 있는 타인이 있다면,",62,,,,Main_Ch6,M6_L0061
1,31,62,main_bed,Player,Main,,face_blink,text,then I wouldn’t have to explain myself so\nthoroughly. I would be accepted as I am.,내가 나를 열심히 설명하며 살지 않아도 될 텐데.\n그 역시 온전히 이해받을 수 있을 텐데.,63,,,,Main_Ch6,M6_L0062
1,31,63,main_bed,Player,Main,,face_blink,text,"Sometimes maintaining relationships can\nbe tiring, and lonely. I know how you feel.","때로는 관계를 이어간다는 게 아주 피곤하기도,\n아주 외롭기도 하지. 뭉치의 마음을 공감해.",64,,,,Main_Ch6,M6_L0063
1,31,64,main_bed,Dot,Main,,face_eyeroll3,text,"There is no hope, is there.\nYou feel the same pain.",결국 희망은 없구나. 너도 같은 통증을 느낄 뿐이구나.,65,,,,Main_Ch6,M6_L0064
1,31,65,main_bed,Dot,Main,,face_squeeze,text,I’m stuck. Stuck. Stuck. Stuck.,답답해. 답답해. 답답해. 답답해.,66,,,,Main_Ch6,M6_L0065
1,31,66,main_bed,Dot,Main,,face_blink,text,"I’m losing it. I want to know. I have to\nknow. I need to be closer, closer, closer.","미칠 것 같아. 알고 싶어. 알고 싶어.\n더, 더, 더 가까워지고 싶어.",67,,,,Main_Ch6,M6_L0066
1,31,67,main_bed,Dot,Main,,face_eyeroll3,text,"Oh, oh... No.","아, 아... 아니.",68,,,,Main_Ch6,M6_L0067
1,31,68,main_bed,Dot,Main,,face_eyeroll3_stay,text,All individual beings have\nlonely fates. I have to know this.,모든 고유한 존재들에는 필연적인\n외로움이 있어. 알아야만 해.,69,,,,Main_Ch6,M6_L0068
1,31,69,main_bed,Dot,Main,,face_eyeroll3_stay,text,But I’m so scared.,그렇지만 정말로 무서운걸.,70,,,,Main_Ch6,M6_L0069
1,31,70,main_bed,Dot,Main,,face_eyeroll3_stay,text,"That we may remain strangers forever\nonly to be forgotten, then wither and die...","우린 서로에게 영원한 이방인으로 남은\n채 잊히다가, 메말라 죽어 버릴지 몰라...",71,,,,Main_Ch6,M6_L0070
1,31,71,main_bed,Dot,Main,,face_blink,text,Maybe even after\nI become a dream...,어쩌면 꿈이 된 후에도...,,,anim_omg,,Main_Ch6,M6_L0071
3,32,72,main_door_open,Dot,Main,body_default1,face_blink,text,"<nickname>, you’re here.","<nickname>, 왔구나.",73,,,,Main_Ch6,M6_L0072
3,32,73,main_door_open,Player,Main,,face_blink,selection,Do you feel better?|Have you found your answer?,기분은 괜찮아졌어?|고민은 해결됐어?,74|74,,,sun|moon,Main_Ch6,M6_L0073
3,32,74,main_door_open,Dot,Main,,,text,"Yes, the anxiety has passed and I’ve\nfound peace. But I’m sad and troubled.","응, 불안이 가시며 마음의 평화를\n되찾았어. 하지만 슬프고 착잡해.",75,,,,Main_Ch6,M6_L0074
3,32,75,main_door_open,Player,Main,,,text,Why?,왜?,76,,,,Main_Ch6,M6_L0075
3,32,76,main_door_open,Dot,Main,,face_eyeroll3,text,I have decided to leave you.,나는 너를 떠나기로 했거든.,77,,,,Main_Ch6,M6_L0076
3,32,77,main_door_open,Player,Main,,face_eyeroll3_stay,selection,(Stunned.)|(Ask why.),놀라서 아무 말 하지 않는다.|이유를 물어본다,78|78,,,passive|active,Main_Ch6,M6_L0077
3,32,78,main_door_open,Player,Main,,face_eyeroll3_stay,text,Why?,왜?,79,,,,Main_Ch6,M6_L0078
3,32,79,main_door_open,Dot,Main,,face_blink,text,You are my only and\nmost unique being.,넌 나에게 유일하고도\n가장 고유한 존재인데.,80,,,,Main_Ch6,M6_L0079
3,32,80,main_door_open,Dot,Main,,,text,"And I believed that by resonating\nwith you from a very close distance,","너와 아주 가까운 거리에서 공명하며,",81,,,,Main_Ch6,M6_L0080
3,32,81,main_door_open,Dot,Main,,,text,we could be fulfilled together.,함께 충만해질 수 있을 거라\n굳게 믿고 있었는데.,82,,,,Main_Ch6,M6_L0081
3,32,82,main_door_open,Dot,Main,,,text,"But if I can never go within\nyou, and beyond your seas,","난 네 안, 네 바다 너머로\n결코 들어갈 수 없다면,",83,,,,Main_Ch6,M6_L0082
3,32,83,main_door_open,Dot,Main,,,text,if I can never resonate with\nyou and know you wholly.,너를 결코 온전히 아는\n채로 공명할 수 없다면,84,,,,Main_Ch6,M6_L0083
3,32,84,main_door_open,Dot,Main,,face_close_turn,text,"... And if that truth will never change,\nthen I can no longer stay by your side.","... 그리고 그게 진리라면, 더 이상\n너의 옆에 있을 자신이 없어.",85,,,,Main_Ch6,M6_L0084
3,32,85,main_door_open,Dot,Main,,face_close,text,"It hurts to be let down, you see.",기대가 깨지는 건 아주 아픈 일이거든.,86,,,,Main_Ch6,M6_L0085
3,32,86,main_door_open,Player,Main,,face_close,text,Where will you go?,떠나서 어디로 갈 거야?,87,,,,Main_Ch6,M6_L0086
3,32,87,main_door_open,Dot,Main,,face_open,text,I don’t know.,모르겠어.,88,,,,Main_Ch6,M6_L0087
3,32,88,main_door_open,Player,Main,,face_blink,selection,It’s dangerous out there.|You’re leaving... just like that?,바깥은 너무 위험해.|그냥... 이렇게 떠나는 거야?,89|92,,,moon|sun,Main_Ch6,M6_L0088
3,32,89,main_door_open,Player,Main,,,text,"You might find a new home, but you might\nalso slip into a muddy pool and dissolve.","다른 집을 찾을 수 있을지도 모르고,\n고여 있던 구정물에 빠져 녹아 버릴 수도 있어.",90,,,,Main_Ch6,M6_L0089
3,32,90,main_door_open,Dot,Main,,,text,... I’m not leaving\nin search of a new place.,... 내가 떠나는 이유는 다른\n곳으로 가기 위함이 아니야.,91,,,,Main_Ch6,M6_L0090
3,32,91,main_door_open,Dot,Main,,face_sad,text,I just can’t stay here any more.,이곳에 남아 있지 못해서야.,95,,,,Main_Ch6,M6_L0091
3,32,92,main_door_open,Player,Main,,face_blink,text,I thought you would at least talk\nthings out. I thought we were friends.,이야기하지도 않고 혼자 결정할 줄은\n몰랐어. 나는 우리가 친구라고 생각했거든.,93,,,,Main_Ch6,M6_L0092
3,32,93,main_door_open,Dot,Main,,,text,... I’m not leaving because we’re not.,... 내가 떠나는 이유는 너를\n친구로 생각하지 않아서가 아니야.,94,,,,Main_Ch6,M6_L0093
3,32,94,main_door_open,Dot,Main,,,text,Perhaps I’m leaving because you’re\ntoo good of a friend to me...,너무 좋은 친구로 생각하기\n때문에 떠나는 것일지도...,95,,,,Main_Ch6,M6_L0094
3,32,95,main_door_open,Dot,Main,,,text,"<nickname>, you can’t understand the dark well\nwithin me, can you? You’re... beautiful. Human.","<nickname>, 너는 내 안의 시커먼 우물을 이해할\n수 없겠지? 넌... 아름다운 인간이니까.",96,,,,Main_Ch6,M6_L0095
3,32,96,main_door_open,Dot,Main,,,text,Perhaps a fellow creature will\nresonate with me more intimately.,"어쩌면 나와 더욱 긴밀히 공명할\n존재는, 나와 같은 괴물 친구.",97,,,,Main_Ch6,M6_L0096
3,32,97,main_door_open,Player,Main,,,selection,I’m not as perfect as you think...|I think humans are no different from creatures.,나는 너의 생각만큼 무결한 존재가 아니야...|인간과 괴물은 다를 바가 없다고 생각해.,98|98,,,sun|moon,Main_Ch6,M6_L0097
3,32,98,main_door_open,Player,Main,,,text,Sometimes I feel like there’s\na dark well within me.,"가령, 내 마음 속에도 시커먼 우물이\n고여 있는 것처럼 느껴질 때가 있어.",99,,,,Main_Ch6,M6_L0098
3,32,99,main_door_open,Player,Main,,,text,It may be different from the emotions\nthat causes you to despise yourself.,네 검정이 너를 징그럽게 여기도록\n하는 감각과는 다를 수 있겠지만,100,,,,Main_Ch6,M6_L0099
3,32,100,main_door_open,Player,Main,,,text,But in some way\nyou and I are alike.,비슷한 결로서는 나도 너와 닮아 있어.,101,,,,Main_Ch6,M6_L0100
3,32,101,main_door_open,Player,Main,,,text,We are all alike in some way.,우리는 모두 서로 닮아 있어.,102,,,,Main_Ch6,M6_L0101
3,32,102,main_door_open,Dot,Main,,,text,...,...,103,,,,Main_Ch6,M6_L0102
3,32,103,main_door_open,Dot,Main,,,text,But I wanted to be your dream.,하지만 나는 너의 꿈이 되고 싶었단 말이야.,104,,,,Main_Ch6,M6_L0103
3,32,104,main_door_open,Player,Main,,,selection,What about it?|Do we have to be the same for you to be mine?,그게 왜?|꿈이 되려면 너와 내가 같아야만 해?,105|105,,,passive|active,Main_Ch6,M6_L0104
3,32,105,main_door_open,Dot,Main,,,text,"When you dream of me at night, I’ll\nlive in your head when morning comes.","너는 밤 동안 꿈으로 변한 나를 꾸면, 그날\n아침부터 난 네 머릿속에 살게 될 거야.",106,,,,Main_Ch6,M6_L0105
3,32,106,main_door_open,Dot,Main,,face_eyeroll3,text,"There, I’ll sit in a small dark corner... ",그곳에도 나를 위한 작고\n어둑한 모퉁이가 있겠지...,107,,,,Main_Ch6,M6_L0106
3,32,107,main_door_open,Dot,Main,,face_eyeroll3_stay,text,And I’ll be your friend forever.,난 그곳에서 너의 영원한 친구가 돼.,108,,,,Main_Ch6,M6_L0107
3,32,108,main_door_open,Player,Main,,,text,(It’s Dot’s way of saying that is how\nthey’ll stay in my memory and heart.),(뭉치는 기억과 마음 속에\n남는다는 걸 이렇게 표현하는구나.),109,,,,Main_Ch6,M6_L0108
3,32,109,main_door_open,Player,Main,,,text,(Dreams can be romantic like this.),(꿈이 굉장히 낭만적인 존재처럼 느껴지네.),110,,,,Main_Ch6,M6_L0109
3,32,110,main_door_open,Dot,Main,,face_sad,text,But.,그런데,111,,,,Main_Ch6,M6_L0110
3,32,111,main_door_open,Dot,Main,,,text,"But even after I make\nthat irreversible choice,","그런데 만약 그 돌이킬 수\n없는 선택을 내려 버린 후에도,",112,,,,Main_Ch6,M6_L0111
3,32,112,main_door_open,Dot,Main,,,text,"what if after I become your dream,\nbeyond your seas and the wall,","꿈이 된 후에도 내가 네\n바다 너머, 벽 너머에서",113,,,,Main_Ch6,M6_L0112
3,32,113,main_door_open,Dot,Main,,face_blink,text,"I’m reminded every single day\nthat we can never be completely us,",우리가 완전한 우리가 될 수\n없다는 것을 매일 매일 상기당하며,114,,,,Main_Ch6,M6_L0113
3,32,114,main_door_open,Dot,Main,,face_omg,text,and forced to scratch the surface of the wall\nand talk to myself? Forever? Alone? Perilously?,벽의 표면만을 긁으며 평생을 혼잣말해야 \n한다면? 평생을? 고독하고? 위태롭게?,115,,,,Main_Ch6,M6_L0114
3,32,115,main_door_open,Player,Main,,,selection,..... (What?)|I’m not following.,..... (무슨 뜻이지?)|비유가 난해해서 이해하기 어려워.,116|116,,,passive|active,Main_Ch6,M6_L0115
3,32,116,main_door_open,Player,Main,,,text,..... What?,..... 응?,117,,,,Main_Ch6,M6_L0116
3,32,117,main_door_open,Dot,Main,,face_eyeroll3,text,... It’s alright. It doesn’t matter if you don’t\nunderstand. Perhaps if you were a creature.,"... 괜찮아. <nickname>, 이해를 바라고 한 말은 아니었어.\n네가 아닌 괴물 친구였다면 단박에 알아들어 주었겠지만.",118,,,,Main_Ch6,M6_L0117
3,32,118,main_door_open,Player,Main,,face_blink,text,"Yes, you and I are different.\nWe can never be one.","그래, 너와 나는 다른 존재야.\n영원히 하나될 수 없는.",119,,,,Main_Ch6,M6_L0118
3,32,119,main_door_open,Player,Main,,,text,Maybe that’s all there\nis to our relationship.,어쩌면 그게 관계의 본질일지도 모르지.,120,,,,Main_Ch6,M6_L0119
3,32,120,main_door_open,Player,Main,,,text,But...,하지만...,121,,,,Main_Ch6,M6_L0120
3,32,121,main_door_open,Player,Main,,,selection,It’s that we’re different that makes\nus beautiful.|It’s all a matter of will.,결국 우리는 달라서 아름다운 거야.|결국 중요한 건 의지라고 생각해.,122|129,,,sun|moon,Main_Ch6,M6_L0121
3,32,122,main_door_open,Dot,Main,,,text,What?,뭐?,123,,,,Main_Ch6,M6_L0122
3,32,123,main_door_open,Player,Main,,,text,Think of a harmony.,화음을 생각해 보자.,124,,,,Main_Ch6,M6_L0123
3,32,124,main_door_open,Player,Main,,,text,At times our melodies may slip and\ncreate an unpleasant dissonance.,각자의 음을 노래하다가도 때로는 삐끗해서\n듣기 싫은 불협화음이 될 수도 있지.,125,,,,Main_Ch6,M6_L0124
3,32,125,main_door_open,Player,Main,,,text,But it’s still our song.,하지만 그게 우리의 노래인걸.,126,,,,Main_Ch6,M6_L0125
3,32,126,main_door_open,Player,Main,,,text,"It doesn’t always have to be beautiful,\nas long as you and I tune it together","매순간 아름답지 않아도, 너와 내가\n함께 노래를 만들기 위해 음을 조율하고",127,,,,Main_Ch6,M6_L0126
3,32,127,main_door_open,Player,Main,,,text,and try to move each other with\na carefully drawn-out melody.,조심스럽게 음을 내어\n서로를 울리려 하는 것.,128,,,,Main_Ch6,M6_L0127
3,32,128,main_door_open,Player,Main,,,text,"To focus on your melody, the way it differs from\nmine, and simply <i>feel</i> it. That matters to me.","나와는 다른 너의 음을 귀 기울여 듣고, 그저 느껴\n보려 하는 마음. 난 그게 값진 거라고 생각해.",132,,,,Main_Ch6,M6_L0128
3,32,129,main_door_open,Player,Main,,,text,"We’re different, and that’s what will make\nus try to read each other more thoroughly.","우리는 다르지만, 다르기에 서로를\n더욱 자세히 읽어 보려 할 거야.",130,,,,Main_Ch6,M6_L0129
3,32,130,main_door_open,Player,Main,,,text,Whether we’ve misread or\nunderstood is unimportant.,"중요한 건 이해를 했는지,\n오독을 하고 있는지가 아니야.",131,,,,Main_Ch6,M6_L0130
3,32,131,main_door_open,Player,Main,,,text,The will to read each other.\nThat’s what matters.,서로를 독해하려는 의지.\n그 의지만 중요한 거야.,132,,,,Main_Ch6,M6_L0131
3,32,132,main_door_open,Dot,Main,,face_mad,text,I understand what you mean.\nBut I’m still afraid.,말은 잘 이해했어. 하지만\n난 여전히 두려워.,133,,,,Main_Ch6,M6_L0132
3,32,133,main_door_open,Dot,Main,,,text,Afraid our ignorance and our\ndifference will rear its childish head.,우리의 무지와 우리의 다름이\n미성숙한 횡포를 부릴까 겁나.,134,,,,Main_Ch6,M6_L0133
3,32,134,main_door_open,Dot,Main,,,text,"If I can’t bear the distance between\nus and scream to let myself be closer,","내가 우리 사이의 간극을 견디지 못해,\n너에게 가닿기 위해 소리를 질러 버린다면,",135,,,,Main_Ch6,M6_L0134
3,32,135,main_door_open,Dot,Main,body_trembling,,text,that sharp wave might\nchange you and I forever.,그 날카로운 파동이 너와 나의\n모양을 영영 바꿔 버린다면 어쩌지.,136,,,,Main_Ch6,M6_L0135
3,32,136,main_door_open,Dot,Main,,,text,"And what of my premeditated solitude,\none where I’ll walk across the empty time?",이후의 텅 빈 시간 위를 혼자\n걸을 나의 예견된 고독은?,137,,,,Main_Ch6,M6_L0136
3,32,137,main_door_open,Player,Main,body_default1,face_squeeze,text,I know you’re worried. But\nnothing in the world is certain.,불안할 것 알아. 그치만 세상에\n확실한 건 단 하나도 없어.,138,,,,Main_Ch6,M6_L0137
3,32,138,main_door_open,Player,Main,,,text,Someone you love deeply\ncould be gone tomorrow.,깊이 사랑하던 사람이 내일이면\n곁을 떠날 수 있는 것처럼.,139,,,,Main_Ch6,M6_L0138
