 ,ScriptKey,LineKey,Background,Actor,AnimState,DotAnim,DotExpression,TextType,KorText,EngText,NextLineKey,AnimScene,AfterScript,DeathNote,LocTable,LocKey
1,67,23,main_table,Dot,Main,body_wet2,face_omg,text,"죽음을 똑바로 바라보는 건 예상했던 것만큼,\n아니 그보다 몇 배는 더 괴로웠어.","It was agonizing to look death straight on,\njust as I imagined. No, so much worse.",24,,,,Main_Ch12,M12_L0023
1,67,24,main_table,Dot,Main,body_wet2,face_squeeze,text,"나는, 나는, 나는...","I, I, I...",25,,,,Main_Ch12,M12_L0024
1,67,25,main_table,Dot,Main,body_wet2,face_squeeze,text,아주 작은 희망 하나로\n내 검은 몸을 버텨 왔는데.,"I’ve tolerated this dark body, hanging\nonto the thinnest thread of hope.",26,,,,Main_Ch12,M12_L0025
1,67,26,main_table,Dot,Main,body_wet2,face_blink,text,그 희망은 난도질되었어. 아침이면 가차 없이\n막을 내리는 간밤의 꿈처럼... 휘발되었지. 영영.,"But now, like a dream retreating with no mercy\nin the morning... it’s extinguished. For good.",27,,,,Main_Ch12,M12_L0026
1,67,27,main_table,Dot,Main,body_wet2,,text,어떤 길을 택해도 그 끝이 죽음이라니.,All roads lead to death.,28,,,,Main_Ch12,M12_L0027
1,67,28,main_table,Dot,Main,body_wet2,face_mad,text,"정말이지, 미치도록 인간의\n꿈이 되고 싶었단 말이야.",But I so longed to be a human’s dream.,29,,,,Main_Ch12,M12_L0028
1,67,29,main_table,Dot,Main,body_wet2,,text,"살아서, 살아남아서 가장 다채롭게\n완성되고 싶었단 말이야.","I wanted to live, live and be perfected\nas something entirely colorful.",30,,,,Main_Ch12,M12_L0029
1,67,30,main_table,Dot,Main,body_wet2,,text,"그런데, 그런데, 그런데.","Yet, yet, yet.",31,,,,Main_Ch12,M12_L0030
1,67,31,main_table,Dot,Main,body_wet2,,text,왜 이렇게 모든 게 어렵고 숨 막히는 거야?\n왜 나는 하필 나여야만 하는 거야?,Why does everything have to be so hard and\nsuffocating? Why must I be <i>me</i>?,32,,,,Main_Ch12,M12_L0031
1,67,32,main_table,Player,Main,body_wet2,,text,내가 지금 해 줄 수 있는 게 많지는 않아.,There isn’t much I can do for you.,33,,,,Main_Ch12,M12_L0032
1,67,33,main_table,Player,Main,body_wet2,,text,"하지만, 너의 친구로서","But, as your friend,",34,,,,Main_Ch12,M12_L0033
1,67,34,main_table,Player,Main,body_wet2,,selection,너의 마음을 들어 줄 수는 있어.|널 안전하게 지키려고 노력할 거야.,I can share your burden.|I can try to keep you safe.,35|35,,,passive|active,Main_Ch12,M12_L0034
1,67,35,main_table,Player,Main,body_wet2,,text,그러니 왜 물컵에 들어가야\n했던 건지 설명해 줘.,So tell me why you had\nto fit yourself in the cup.,36,,,,Main_Ch12,M12_L0035
1,67,36,main_table,Dot,Main,body_wet2,,text,..... 사실.,.... The truth is.,37,,,,Main_Ch12,M12_L0036
1,67,37,main_table,Dot,Main,body_wet2,,text,사실.,The truth is.,38,,,,Main_Ch12,M12_L0037
1,67,38,main_table,Dot,Main,body_wet2,face_omg,text,.....,....,39,,,,Main_Ch12,M12_L0038
1,67,39,main_table,Dot,Main,body_wet2,,text,솟구치는 답답함을 해소하고 싶었어. 그 해방을\n위해서라면 내 몸쯤은 해쳐도 된다고 생각했어.,I wanted to relieve this surging frustration.\nI thought the relief would be worth the pain.,40,,,,Main_Ch12,M12_L0039
1,67,40,main_table,Dot,Main,body_wet2,,text,며칠 전 만났던 그 인간. 그는 벽에 머리를 박으며,"The human I met before. He smashed\nhis head against the wall,",41,,,,Main_Ch12,M12_L0040
1,67,41,main_table,Dot,Main,body_wet2,,text,통증만큼이나 강한 해방감을 느끼는 것 같았어.,and seemed to feel a relief\nas strong as the pain.,42,,,,Main_Ch12,M12_L0041
1,67,42,main_table,Dot,Main,body_wet2,face_squeeze,text,미안해. 잘 설명할 수 없어.,I’m sorry. It’s hard to explain.,43,,,,Main_Ch12,M12_L0042
1,67,43,main_table,Player,Main,body_wet2,,selection,아니야. 잘하고 있어.|(침묵하며 듣는다.),"No, you’re doing well.|(Keep on listening.)",44|44,,,active|passive,Main_Ch12,M12_L0043
1,67,44,main_table,Dot,Main,body_wet2,face_omg,text,"마음이 무너져 내린 모든\n순간, 걷잡을 수 없는 새에","When my heart crumbled, in a fit of despair",45,,,,Main_Ch12,M12_L0044
1,67,45,main_table,Dot,Main,body_wet2,,text,그 해방에 대한 욕구가 날\n지배했다는 것만 기억나.,I remember the desire\nfor relief taking control.,46,,,,Main_Ch12,M12_L0045
1,67,46,main_table,Dot,Main,body_wet2,,text,"책장 벽에 머리를 박아 보기도\n했고, 피부를 쥐어뜯어 보기도 했어.","I’ve tried banging my head on\nthe wall, and ripping out my skin.",47,,,,Main_Ch12,M12_L0046
1,67,47,main_table,Dot,Main,body_wet2,,text,밤새 스스로를 해치는\n생각들을 하기도 했고...,Stayed up the night\nthinking of hurting myself...,48,,,,Main_Ch12,M12_L0047
1,67,48,main_table,Dot,Main,body_wet2,,text,나의 검정을 증오하며 깨끗한\n물에도 앉아 있어 봤지만.,"I’ve sat in clean water, loathing my blackness.",49,,,,Main_Ch12,M12_L0048
1,67,49,main_table,Dot,Main,body_wet2,,text,보다시피 나아진 것 아무것도 없지.,"And as you can see, nothing’s changed.",50,,,,Main_Ch12,M12_L0049
1,67,50,main_table,Dot,Main,body_wet2,,text,"나는 꿈이 되어 죽게 될 테고, 여전히 징그러울\n지경으로 시커멓고, 해결된 의문은 단 하나도 없어.","I’ll die as a dream, and still be revoltingly\ndark. Not a single question resolved.",51,,,,Main_Ch12,M12_L0050
1,67,51,main_table,Dot,Main,body_wet2,face_eyeroll3,text,"이제 너는 나를 볼 때마다 이런 추잡한 장면을 함께 \n떠올리겠지. 제대로 할 줄 아는 것도 없는 거야, 나는.",Now when you see me you’ll recall this\nghastly scene. I can’t do anything right.,52,,,,Main_Ch12,M12_L0051
1,67,52,main_table,Player,Main,body_wet2,face_sad,selection,(깊은 한숨을 쉰다.)|(따뜻하게 뭉치를 바라본다.),(Sigh deeply.)|(Look at Dot warmly.),53|55,,,moon|sun,Main_Ch12,M12_L0052
1,67,53,main_table,Player,Main,body_wet2,,text,... 너의 정신적 고통에 대한\n어쩔 수 없는 선택이었다는 거잖아.,... You’re saying you had no choice\nin the face of your mental pain.,54,,,,Main_Ch12,M12_L0053
1,67,54,main_table,Player,Main,body_wet2,face_blink,text,알겠어. 알겠는데...,"I get it, but...",62,,,,Main_Ch12,M12_L0054
1,67,55,main_table,Player,Main,body_wet2,,text,"실은, 꽤 많은 인간들 역시\n‘자해’로 분류되는 행동을 해.","See, quite a number of humans do things\nthat can be classified as ‘self-harm.’",56,,,,Main_Ch12,M12_L0055
1,67,56,main_table,Player,Main,body_wet2,,text,"놀라지 않았다면 거짓말이지만,","I would be lying if I said I wasn’t surprised,",57,,,,Main_Ch12,M12_L0056
1,67,57,main_table,Player,Main,body_wet2,,text,너의 정신적 고통에 대한 어쩔\n수 없는 선택이었다는 거잖아.,but you’re saying you had no choice\nin the face of your mental pain.,58,,,,Main_Ch12,M12_L0057
1,67,58,main_table,Player,Main,body_wet2,face_eyeroll3,selection,이해해. 아파하던 널 옆에서 지켜봤으니까.|공감해. 그 막막함을... 나도 너무 잘 아니까.,I get it. I’ve watched you suffer.|I... know that frustration too well.,61|59,,,moon|sun,Main_Ch12,M12_L0058
1,67,59,main_table,Player,Main,body_wet2,face_eyeroll3_stay,text,"숨을 쉴 수 없을 때, 정상적인\n사고가 되지 않을 때,","When you can’t breathe or think straight,",60,,,,Main_Ch12,M12_L0059
1,67,60,main_table,Player,Main,body_wet2,face_blink,text,올바르지 않은 걸 알면서도 그곳으로\n이끌리게 되는 못난 충동을 알고 있지.,and are drawn to things you know\naren’t right. That wrong impulse.,61,,,,Main_Ch12,M12_L0060
1,67,61,main_table,Player,Main,body_wet2,face_blink,text,"하지만, 뭉치.",But Dot.,62,,,,Main_Ch12,M12_L0061
1,67,62,main_table,Player,Main,body_wet2,face_blink,text,이런 일이 반복되지 않았으면 좋겠어.\n그런 너를 보는 내 마음도 생각해 줘.,I just wish it won’t happen again.\nThink about how it makes me feel.,63,,,,Main_Ch12,M12_L0062
1,67,63,main_table,Dot,Main,body_wet2,face_eyeroll3,text,......,....,64,,,,Main_Ch12,M12_L0063
1,67,64,main_table,Dot,Main,body_wet2,face_squeeze,text,......,....,65,,,,Main_Ch12,M12_L0064
1,67,65,main_table,Dot,Main,body_wet2,face_squeeze,text,<nickname>...,<nickname>...,66,,,,Main_Ch12,M12_L0065
1,67,66,main_table,Player,Main,body_wet2,face_squeeze,text,응?,Yes?,67,,,,Main_Ch12,M12_L0066
1,67,67,main_table,Dot,Main,body_wet2,face_squeeze,text,확답을 주지 못할 것 같아. 반복될까 봐 두려워.,I can’t promise you anything.\nI’m scared it will happen again.,68,,,,Main_Ch12,M12_L0067
1,67,68,main_table,Dot,Main,body_wet2,face_squeeze,text,"일시적인 아픔이 지나고, 나는 그보다\n강하게 살아 있음을 느꼈어.","After the initial pain, I felt truly alive.",69,,,,Main_Ch12,M12_L0068
1,67,69,main_table,Dot,Main,body_wet2,face_squeeze,text,막혔던 숨이 시원하게 뚫리고,I could finally breathe,70,,,,Main_Ch12,M12_L0069
1,67,70,main_table,Dot,Main,body_wet2,face_squeeze,text,덩굴처럼 어지럽게 날 휘감던 안개가\n‘통증’이라는 분명한 몸을 가지기 시작했어.,and the fog that had wrapped itself around\nme like vines took a solid form labeled ‘pain.’,71,,,,Main_Ch12,M12_L0070
1,67,71,main_table,Dot,Main,body_wet2,face_sad,text,그건... 순간이지만 정말 해방 같았어.,"It... felt like relief, for a split second.",72,,,,Main_Ch12,M12_L0071
1,67,72,main_table,Dot,Main,body_wet2,,text,"고통스러운 생각으로 억눌렸을 때, 그 위험한\n감각을 나도 모르게 찾게 될까 두려워.","When plagued by torment, I fear I might\nunconsciously seek that dangerous sensation.",73,,,,Main_Ch12,M12_L0072
1,67,73,main_table,Player,Main,body_wet2,face_eyeroll3,selection,(당황하며 놀란다.)|(단호하게 대응한다.),(Be alarmed.)|(Be firm.),74|82,,,sun|moon,Main_Ch12,M12_L0073
1,67,74,main_table,Player,Main,body_wet2,face_eyeroll3_stay,text,어어... 어... 어. 그렇구나. 그랬구나...,Oh... oh. I see. I see...,75,,,,Main_Ch12,M12_L0074
1,67,75,main_table,Player,Main,body_wet2,face_blink,text,(잠시 생각할 시간이 필요하다.\n당장 감당하기 어려운 생각이야.),(I need time to think. This isn’t\nsomething I can deal with right now.),76,,,,Main_Ch12,M12_L0075
1,67,76,main_table,Player,Main,body_wet2,,text,(자해가 주는 불건강한 해방을\n다시 찾게 될 것 같다니...),(To revisit the relief self-harm gives...),77,,,,Main_Ch12,M12_L0076
1,67,77,main_table,Player,Main,body_wet2,,selection,"(아니, 이건 이해할 수 없어.)|(사실 이해할 수 있지만...)","(No, I can’t understand it.)|(I can understand it, but...)",79|78,,,moon|sun,Main_Ch12,M12_L0077
1,67,78,main_table,Player,Main,body_wet2,,text,(하지만 소중한 친구가 다치는 건\n싫다. 뭉치를 말려야 한다.),(But I don’t want my friend\nto be hurt. I have to stop Dot.),79,,,,Main_Ch12,M12_L0078
1,67,79,main_table,Player,Main,body_wet2,,text,그런데.....,But.....,80,,,,Main_Ch12,M12_L0079
1,67,80,main_table,Player,Main,body_wet2,,text,"좋은 방법은 아닌 것 같아. 그러니까, 자해는\n어느 상황에서든 좋은 방법이 될 수 없어.","I don’t think it’s a good idea. That is,\nharming yourself is never the answer.",81,,,,Main_Ch12,M12_L0080
1,67,81,main_table,Player,Main,body_wet2,,text,부정적인 마음을 위험하게 해소하려\n한다면... 그건 너의 덫이 될 거야.,Trying to relieve negative emotions\nin a dangerous way... will be a trap.,84,,,,Main_Ch12,M12_L0081
1,67,82,main_table,Player,Main,body_wet2,face_blink,text,"아니, 너는 그 위험한 감각을 다시 찾아서는\n안 돼. 찾고 싶어 하지도 않았으면 좋겠어.","No, don’t go looking for those sensations.\nDon’t even think about them.",83,,,,Main_Ch12,M12_L0082
1,67,83,main_table,Player,Main,body_wet2,,text,부정적인 마음을 위험한 방식으로\n해소하려고 하면 상황만 악화될 뿐이야.,Trying to relieve negative emotions in a\ndangerous way will only make things worse.,84,,,,Main_Ch12,M12_L0083
1,67,84,main_table,Player,Main,body_wet2,,text,오늘 뭉치도 느낀 것처럼 말이지.,Like the way you felt today.,85,,,,Main_Ch12,M12_L0084
1,67,85,main_table,Player,Main,body_wet2,,text,"인간의 경우로 말해 주자면, 늘 가리고\n다녀야 할 흉터가 몸에 영구적으로 남게 돼.","To put it in human terms, it will leave a\npermanent scar you will have to hide.",86,,,,Main_Ch12,M12_L0085
1,67,86,main_table,Player,Main,body_wet2,,text,상황을 지탱할 힘이 더 약해질 수도 있지.\n게다가 정말 죽기라도 하게 된다면...,Your ability to withstand things\nwill weaken. And if you truly die...,87,,,,Main_Ch12,M12_L0086
1,67,87,main_table,Dot,Main,body_wet2,face_eyeroll3,text,"응... <nickname> 나 정말로,\n몸이 좀 부풀어 있을 것 같아.","Yes... <nickname>, I truly think\nmy body will stay a bit bloated.",88,,,,Main_Ch12,M12_L0087
1,67,88,main_table,Dot,Main,body_wet2,face_eyeroll3_stay,text,내 몸이니까 아는 건데 그런 예감이 들어.,I know my body and I can feel it.,89,,,,Main_Ch12,M12_L0088
1,67,89,main_table,Dot,Main,body_wet2,face_close_turn,text,녹아 내려 가는데 부풀기까지.\n아. 얼마나 더 볼품 없어질까.,Melted and bloated. Oh.\nJust how ugly I’ll become.,90,,,,Main_Ch12,M12_L0089
1,67,90,main_table,Player,Main,body_wet2,face_open,text,"... 상황을 해결하려 하는 대신, 자기\n학대의 굴레에 빠지게 될 수도 있어.","... Instead of solving the problem,\nyou could fall into a pit of self-abuse.",91,,,,Main_Ch12,M12_L0090
1,67,91,main_table,Player,Main,body_wet2,,text,네가 방금 한 말 역시 또 다른\n덫이 될 수 있단 말이야.,What you just said can be another trap.,92,,,,Main_Ch12,M12_L0091
1,67,92,main_table,Dot,Main,body_wet2,face_eyeroll3,text,"그건, 그건... 도저히 아니라고는 말 못 하겠네.","That’s, that’s... I can’t argue with that.",93,,,,Main_Ch12,M12_L0092
1,67,93,main_table,Player,Main,body_wet2,face_eyeroll3_stay,text,그리고...,And...,94,,,,Main_Ch12,M12_L0093
1,67,94,main_table,Player,Main,body_wet2,face_blink,text,과연 자해가 해방의 유일한 방법일까?,Is self-harm the only option?,95,,,,Main_Ch12,M12_L0094
1,67,95,main_table,Dot,Main,body_wet2,,text,... 응? 그게 무슨 말이야?,... Hmm? What do you mean?,96,,,,Main_Ch12,M12_L0095
1,67,96,main_table,Player,Main,body_wet2,,text,감정을 실체화하는 ‘끔찍하지 않은\n방법’도 세상에 존재할 것 같아서.,"I feel like there’s another way to crystallize\nyour emotions, one that’s not awful.",97,,,,Main_Ch12,M12_L0096
1,67,97,main_table,Player,Main,body_wet2,,text,한 스푼의 상상력만 있다면...,It would only take one\nspoonful of imagination...,98,,,,Main_Ch12,M12_L0097
1,67,98,main_table,Player,Main,body_wet2,,text,"음. 가령... 고통을 글로 휘갈겨 쓰거나,\n고함을 질러 터트려 버린다거나?","Hmm. Let’s say... writing your pain down\nwith ink, or letting it burst in a scream?",99,,,,Main_Ch12,M12_L0098
1,67,99,main_table,Dot,Main,body_wet2,,text,... 몸을 쭈욱 늘린다거나?,... Or stretching my body?,100,,,,Main_Ch12,M12_L0099
1,67,100,main_table,Dot,Main,body_wet2,,text,종이에 대고 검은 몸을 문대서...\n강렬한 그림을 그려 보는 것도... 음. 음.,I could rub it against paper... and\ndraw a striking picture... hmm. Hmm.,101,,,,Main_Ch12,M12_L0100
1,67,101,main_table,Player,Main,body_wet2,,text,너라면 몸으로 여러 모양을 만들어 볼 수도\n있을 거야. 인간보다 곱절은 더 유연하니까.,You could bend into all kinds of shapes.\nYou’re so much more flexible than humans.,102,,,,Main_Ch12,M12_L0101
1,67,102,main_table,Player,Main,body_wet2,,text,그렇게 너의 슬픔이나 갑갑한\n절망을 몸으로 시각화해 볼 수도 있잖아.,That way you can visualize\nyour sorrow or despair.,103,,,,Main_Ch12,M12_L0102
1,67,103,main_table,Dot,Main,body_wet2,,text,.....,.....,104,,,,Main_Ch12,M12_L0103
1,67,104,main_table,Dot,Main,body_wet2,,text,..... 어쩌면.,..... Maybe.,105,,,,Main_Ch12,M12_L0104
1,67,105,main_table,Dot,Main,body_wet2,,text,어쩌면 자해가 불러다 주었던 강렬한 감각은\n해방이 아니라... 그저 고통이었을지도 모르겠어.,Maybe the sensation self-harm brought\nme wasn’t relief... but just pain.,106,,,,Main_Ch12,M12_L0105
1,67,106,main_table,Dot,Main,body_wet2,,text,"또렷하지 않은 정신으로 받아들인 고통은,\n마치 해방의 모습으로 착각되었을 뿐.",My blurry mind merely mistook it for relief.,107,,,,Main_Ch12,M12_L0106
1,67,107,main_table,Dot,Main,body_wet2,face_eyeroll3,text,... 그날 본 인간도 더욱 푸르른 해방을 찾을 수 있다면\n좋겠다. 너른 파도가 그의 마음에 가닿았으면.,... I hope the human I saw that day can find\nrelief. I hope the vast waves reach his mind.,108,,,,Main_Ch12,M12_L0107
1,67,108,main_table,Player,Main,body_wet2,face_eyeroll3_stay,text,다행이야...,I’m glad...,109,,,,Main_Ch12,M12_L0108
1,67,109,main_table,Player,Main,body_wet2,face_blink,text,"뭉치야, 혹시 있잖아.","Dot, I just want to say.",110,,,,Main_Ch12,M12_L0109
1,67,110,main_table,Player,Main,body_wet2,,text,"감당할 수 없을 때 다시 ‘어쩔 수 없는 방법’을\n택하게 된다면, 그게 너를 아주 해치게 두지는 마.","If you ever feel helpless enough to resort\nto this again, don’t let it hurt you too much.",111,,,,Main_Ch12,M12_L0110
1,67,111,main_table,Player,Main,body_wet2,,text,"그리고 되도록이면, 꼭, 건강한\n해소 방식을 찾도록 하자.","Let’s try to find a healthier\noutlet, no matter what.",112,,,,Main_Ch12,M12_L0111
1,67,112,main_table,Player,Main,body_wet2,,text,그건 느릴 수 있겠지만... 적어도\n널 다치게 하진 않을 거야.,It may take time... but\nat least it won’t hurt you.,113,,,,Main_Ch12,M12_L0112
1,67,113,main_table,Dot,Main,body_wet2,,text,... 걱정.,... Concern.,114,,,,Main_Ch12,M12_L0113
1,67,114,main_table,Dot,Main,body_wet2,,text,‘걱정’은 따뜻하고 애정 어린 것.,Concern is warm and affectionate.,115,,,,Main_Ch12,M12_L0114
1,67,115,main_table,Dot,Main,body_wet2,,text,<nickname>의 부드러운 마음이\n느껴져. 고마워. 정말이야.,I can feel your tender heart.\nThank you. I mean it.,116,,,,Main_Ch12,M12_L0115
1,67,116,main_table,Dot,Main,body_wet2,,text,그리고... 이제 이 컵에서\n나가고 싶어졌어.,And... now I want to leave this cup.,117,,,,Main_Ch12,M12_L0116
1,67,117,main_table,Dot,Main,body_wet2,,text,"나의 모퉁이로 돌아가, 오늘 나눈\n대화를 오래 곱씹어 보고 싶어졌거든.","I want to return to my corner, and ponder\non our conversation today for a long time.",118,,,,Main_Ch12,M12_L0117
1,67,118,main_table,Dot,Main,body_wet2,face_eyeroll3,text,그나저나... 정말 몸이... 더욱 흐물거리게 됐네.,,119,,,,Main_Ch12,M12_L0118
1,67,119,main_table,Dot,Main,body_wet2,face_eyeroll3_stay,text,......,......,120,,,sun|moon,Main_Ch12,M12_L0119
1,67,120,main_table,Player,Main,body_wet2,face_squeeze,text,겉보기엔 큰 차이가 없다고 하면...\n너에게 약간의 위로가 될까?,If it doesn’t look that different… would\nthat be any comfort to you?,121,,,,Main_Ch12,M12_L0120
1,67,121,main_table,Player,Main,body_wet2,face_blink,selection,... 내가 물기를 쭉 짜 줄 수도 있어.|창가에서 몸을 말려 보는 건 어때?,... Want me to squeeze the water out?|How about drying yourself in the sun?,122|124,,,active|passive,Main_Ch12,M12_L0121
1,67,122,main_table,Dot,Main,body_wet2,,text,"아니, 아니, 아니. 괜찮아!","No, no, no. No need!",123,,,,Main_Ch12,M12_L0122
1,67,123,main_table,Player,Main,body_wet2,,text,"하하, 장난이었어. 어서 조금이라도 쉬어, 뭉치야.","I’m just messing with you.\nGet some rest, Dot.",,,anim_bounce,,Main_Ch12,M12_L0123
1,67,124,main_table,Dot,Main,body_wet2,,text,"응, 알았어. 이리저리 몸을\n움직여 잘 말려 볼게.",Alright. I’ll roll around in it.,125,,,,Main_Ch12,M12_L0124
1,67,125,main_table,Player,Main,body_wet2,face_blink,text,"적당한 바람이 불면 좋을 텐데...\n그래, 어서 조금이라도 쉬어, 뭉치야.","If only there were a nice breeze...\nOkay. Get some rest, Dot.",,,anim_bounce,,Main_Ch12,M12_L0125
3,68,126,main_door_open,Player,Main,body_default1,face_blink,text,"뭉치, 괜찮아? 좀 어때?","Dot, how are you? Feeling better?",127,,,,Main_Ch12,M12_L0126
3,68,127,main_door_open,Dot,Main,body_bounce,,text,"응, 우선 부풀었던 몸이 돌아왔어.","Yes, my body is back to normal.",128,,,,Main_Ch12,M12_L0127
3,68,128,main_door_open,Dot,Main,body_default1,,text,감정도 추스러진 것 같아. 덕분이야.,And I’ve calmed down. Thanks to you.,129,,,,Main_Ch12,M12_L0128
3,68,129,main_door_open,Player,Main,,,text,다행이다.,That’s good to hear.,130,,,,Main_Ch12,M12_L0129
3,68,130,main_door_open,Dot,Main,,,text,모처럼 내가 가장 좋아하는 그림자 속에\n앉아 ‘암흑’에 대한 생각을 하고 있었어.,I took some time to sit in my favorite\nshadow and reflect on the Dark.,131,,,,Main_Ch12,M12_L0130
3,68,131,main_door_open,Player,Main,,,text,암흑? 뭉치가 무서워하던 공간 아니야?,The Dark? Aren’t you afraid of it?,132,,,,Main_Ch12,M12_L0131
3,68,132,main_door_open,Dot,Main,,,text,"응... 그런데,","Yes... But,",133,,,,Main_Ch12,M12_L0132
3,68,133,main_door_open,Dot,Main,,,text,그동안 만났던 인간들을 한 명씩\n떠올려 보았는데 말이야.,I recalled the humans I’ve\nmet so far one by one.,134,,,,Main_Ch12,M12_L0133
3,68,134,main_door_open,Dot,Main,,,text,"사랑이 고파 괴로워하던 남자,\n채울 수 없는 결핍을 가려워하던 소년.","The man that hungered for love, the\nboy that scratched at an unfillable hole.",135,,,,Main_Ch12,M12_L0134
3,68,135,main_door_open,Dot,Main,,face_eyeroll2,text,너무 많은 ‘진짜’를 가졌던 여자와\n너무 많은 ‘가짜’를 삼켰던 아이.,"The woman with too many truths,\nthe child that swallowed too much.",136,,,,Main_Ch12,M12_L0135
3,68,136,main_door_open,Dot,Main,,face_blink,text,"웃음으로, 연쇄적인 자기 파괴로, 꿈으로.\n필사의 힘을 다해 도망치고 싶어 하던 자들까지.","Those that longed for escape through laughter,\ncontinuous self-destruction, and dreams.",137,,,,Main_Ch12,M12_L0136
3,68,137,main_door_open,Dot,Main,,,text,모두 그들만의 내밀한 암흑을 가지고 있었어.,Each had their innermost darkness.,138,,,,Main_Ch12,M12_L0137
3,68,138,main_door_open,Dot,Main,,face_close_turn,text,"암흑 속으로 발을 헛디뎌 넘어지는\n것이든, 자진해서 잠겨드는 것이든...","Whether they tripped and fell,\nor willingly sank into its depth...",139,,,,Main_Ch12,M12_L0138
3,68,139,main_door_open,Dot,Main,,face_open,text,"중요한 건, 모두가 자기만의\n방법으로 견디고 있었다는 거야.",What matters is that they were\nall bearing it in their own ways.,140,,,,Main_Ch12,M12_L0139
3,68,140,main_door_open,Player,Main,,face_blink,selection,"모든 인간에게는 비밀스럽고 어둑한 방이 하나 존재하지.|... 맞아, 그들은 자기와 투쟁하던 이들이었어.",All humans have a secret dark room.|They were at war with themselves.,141|141,,,moon|sun,Main_Ch12,M12_L0140
3,68,141,main_door_open,Dot,Main,,,text,.....,.....,142,,,,Main_Ch12,M12_L0141
