Key,Id,Shared Comments,English (United States)(en-US),English (United States)(en-US) Comments,Korean (South Korea)(ko-KR),Korean (South Korea)(ko-KR) Comments
ch6 loading,,,"Dot is a keen observer. Dot listens to every answer,\nand delves into the depths of your innermost corners.",,"뭉치는 면밀한 관찰자. 모든 답변에 귀 기울이며, 당신의 내밀한 구석을 파악하고 있을지도 모른다.",
ch7 loading,,,"Dot can survive without eating, but has a knack for swallowing tiny objects\non the floor like a miniature black hole.",,"뭉치는 먹지 않아도 살 수 있으나, 바닥에 떨어진 조그마한 물건을 블랙홀처럼 삼켜 버리기도 한다.",
ch8 loading,,,Planting Dot doesn't result in multiple Dots.\nIt's advisable to unearth it before the rain comes.,,뭉치를 심는다고 해서 뭉치가 자라는 건 아니다. 비가 오기 전에 꺼내주는 편이 좋을 것이다.,
ch9 loading,,,"If tomorrow were the end of the world, Dot would do a handstand\nas a nod to the cosmic order being flipped upside down.",,내일 지구가 멸망한다면 뭉치는 물구나무 서기를 할 것이다.,
ch10 loading,,,"Existential dread is Dot's arch-nemesis.\nCrushed under the weight of thought, they sometimes crumbles like mud.",,존재론적 붕괴는 뭉치의 천적. 생각의 무게에 짓눌린 뭉치는 진흙처럼 무너져 있기도 한다.,
ch11 loading,,,"With their flexible body, Dot can transform into anything.\nSpiders, sparrows, and even last night's snack of a wooden pencil!",,"유연한 몸을 가진 뭉치는 모든 게 되어 볼 수 있다. 거미, 참새, 그리고 어젯밤 집어먹은 몽당연필까지도!",
ch12 loading,,,Has the melancholic wind yet swept across the far side of the moon?\nTune into the moon transmitter tonight and lend an ear to their stories.,,달 뒤편의 이들에게도 쓰라린 흑백의 바람이 불었을까. 오늘 밤에는 송신기를 켜 그들의 이야기를 들어 보자.,
ch13 loading,,,"
Upon closer inspection, Dot's eyes are a tad uneven.\nIn Red's defense, ""I'd never drawn a circle before.""",,뭉치의 눈알은 자세히 보면 조금 짝짝이다. 레드는 이에 '동그라미를 처음 그려 봐서 그랬다'고 해명했다.,
ch14 loading,,,"#FFFFFF: Dot's body color code.\nIt is the mighty absorber of all light and color, the perfect 'black.'",,"뭉치 몸의 컬러 코드는 #FFFFFF. 모든 빛과 색을 잡아먹은, 완벽한 '검정'이다.",
ch1 subtitle,,,¿▷よя▼&#ㅳ,,¿▷よя▼&#ㅳ,
ch2 subtitle,,,"Holes, Holes",,"동그라미, 동그라미",
ch3 subtitle,,,A Thousand Faces,,감춰진 얼굴들,
ch4 subtitle,,,Bygone Tales from the Moon,,잿빛 달나라 이야기,
ch5 subtitle,,,404 not found,,404 not found,
ch6 subtitle,,,The Veil in Between,,야속한 표피 너머,
ch7 subtitle,,,"Humans, Monsters, Scars",,인간과 괴물과 상처,
ch8 subtitle,,,Swallow swallow swallow,,"삼켜, 삼켜, 삼켜",
ch9 subtitle,,,Practicing Farewell,,그리울 연습,
ch10 subtitle,,,"Break, If Breakable",,깨지기 쉬우면 깨뜨려라,
ch11 subtitle,,,"Wake Up, Morning's Coming",,영원한 꿈의 종말,
ch12 subtitle,,,The Secrets of a Manhole,,맨홀 구멍 속 비밀,
ch13 subtitle,,,Aftermath,,그리고 이별이 남길 것들,
ch14 subtitle,,,"Reeling, Freeing",,어지럽고 자유로운,
ch1 longtext,,,"But for some inexplicable\nreason, the man himself could\n not say the word 'I love you.'\nWhenever he tried,\nonly strange, incomprehensible \nsounds came out.",,"그는 알 수 없는 이유로\n‘사랑해’를 부를 수 없었어.\n그 이름을 부르려고 하면,\n그 누구도 이해할 수 없는\n이상한 소리만 나왔던 거야.",
ch2 longtext,,,"Now stuck in his own circular\ntrap, he greedily swallowed\nall the circles of the world. \nWhat he radiated was... \nblank empathy. Engorged greed. \nDesperate hunger.",,"이제 그는 그만의 동그란 공백에 \n갇혀, 탐욕스럽게 세상의 모든 \n동그라미들을 삼켰어. 그런 그에게서 느껴지는 것은, 공허한 연민.\n비대한 욕심. 처절한 허기.",
ch3 longtext,,,"She wasn’t afraid to show what was under her hat.\nShe was looking forward to it. \nTo someone seeing her and all\nher faces. And to be understood,\neach and every version of her.",,그녀는 보여 주기를 두려워하지 \n않았어. 오히려 기대하고 있었지. 누군가가 자신의 모든 면들을 \n알아봐 주길. 매번 보여 주는 모습이 \n다른 자신이 이해받을 수 있기를.,
ch4 longtext,,,"I found myself heading\ninstinctively to the corner of the\nmoon. I had hoped that waiting\nfor my death sentence here,\nI would be free from anxiety. That fear... and its razor-\nsharp edges wouldn’t invade.",,"괜찮아. 무서웠지만 괜찮아. \n그저 본능적으로 달의 모퉁이로 \n향했어. 사형 처분을 기다리게 될 \n이곳만큼은 불안으로부터 \n안전하기를, 날 선 공포가 \n침범하지 못하기를 바라며.",
ch5 longtext,,,"Not knowing when you will die, \nhow are you not crawling on the floor every second, frightened\nout of your mind? Every step\nyou take must feel as if you're\nabout to fall into a sinkhole.",,"언제 죽을지 알 수 없다면,\n너는 어떻게 겁에 질려\n바닥을 기면서 살아가지 않는\n거야? 매순간 떼는 발걸음이\n싱크 홀을 눈앞에 둔 것만\n같은 기분이지 않겠어?",
ch6 longtext,,,"I long to know.\nWhat it is behind your face,\nyour words. What lies beyond\nthe cover page of your being,\nuniquely yours. What wavers\nand glimmers and bitters.",,"너무 궁금해. 너의 표정 속에, \n너의 말 뒤에. 네 존재의 ‘겉표지’ \n너머 존재할 너만의 내적인 일렁임. \n반짝임. 쓰라림. 수많은 감정들의 \n유체가 자유로이 표류하는 감각.",
ch7 longtext,,,"Thinking that I feel good\ncan make me feel good!\nI had doubted its potential\nbefore, but it came through!\nLike how the man-made metallic\nbird can fly in the air.",,"‘기분이 좋다’고 생각하면 ‘기분이\n좋아’진다는 사실 말이야!\n이전까지 그건 말도 안 되는 \n일이라고 생각했지만, 끝내 성공\n했지! 인간들이 철로 만든 새가\n하늘을 나는 일이 그런 것처럼.",
ch8 longtext,,,In his esophagus lived his twin\nbrother. The brother that died\nwhile growing inside their mother.,,그 아이의 식도 안에는\n그의 쌍둥이 형이 살았어.\n어머니의 뱃속에서\n함께 자라나다 죽어 버린 형이.\n아이와 닮은 눈을 도록도록 굴리며\n식도 안에 살았어.,
ch9 longtext,,,"Days that remain\nonly in a camera shutter.\nNow when I speak aloud,\neven my words are lonesome.",,셔터 속에만 남은 나날들.\n이제 나의 혼잣말은\n정말 혼자가 되었구나.,
ch10 longtext,,,"They looked like balled-up\nscreams from within him. \nBalled up screams.\nCinders from a dead flame,\nswarms of cockroaches,\nglobs of red-black blood…",,"그것들은 뭉쳐 있던 비명처럼\n보였어. 내면의 타고 남은 재,\n떼 지은 좀벌레, 시커먼 핏덩어리...\n어쩐지 나를 닮은.\n검디 검은 폐기물 덩어리. \n역시 파쇄해 버려야 마땅한....",
ch11 longtext,,,"Then… one day, the human\nstopped opening her eyes to reality, wishing to forever wander within her dream...\nHer dream became her \nforever companion!",,"그는 정말 꿈에서 살아가고 있었어.\n꿈의 냄새를 맡고, 꿈의 표면을 \n만지면서. 그의 꿈은 영원히 \n한 자리에서 그를 기다리고 \n있는 거야. 밤이 지나도 잊히지 \n않는 무한한 꿈이 된 거야!",
ch12 longtext,,,"The Dark. Where everything is\nthe same, eyes closed or open.\nWhere things much more\nsorrowful and packed lurk. Where there is nothing.\nAnd thus everything.",,그곳은 수렁 같은 암흑. 눈을 떠도 \n감아도 똑같은 것이 보이는. \n죽음보다 훨씬 서럽고 빽빽한 \n것들이 도사리는. 아무것도 없는. \n그렇기에 모든 것이 있는.,
ch13 longtext,,,"The human's life ends there. Their fates run parallel from here on. Still, it's dazzlingly beautiful... Isn't it?",,둘의 인연은 먼 평행을 달리게 \n될 거야. 그렇지만 여전히 \n눈부시게 아름답구나....,
ch14 longtext,,,"The vibrance of humanity,\ntied to the gravitational force of life. It is mesmerizing.\nBut beyond those hues\nlies a small, circular,\n'definite' black hole.",,중력 같은 생명에 묶인 인간 종족의\n다채로움. 그게 나를 얼마나 \n감탄하게 하는지. 하지만 그 색들 \n너머에서… 동그랗고 작고 ‘확고한’ \n블랙홀 하나가 보여.,
