ID,ScriptKey,SuccessKor,FailKor,SuccessEng,FailEng,ArtFilePath
9,sub_afterdeath,"짙고, 짙고, 짙은 그림자가 나를 맴돌고 있다면.","거미줄에 걸려 잠잠히 흔들리는 날파리를 발견했다. 그는 절대, 정말로, 분명히 살아 있었어.","Deep, dark, dire shadows circle me.","Found a fruit fly swaying in a spiderweb. It was alive, I know it was. I swear it.",
9,sub_dare,<nickname>의 낭만이 향하는 길에는 부드러운 풀잎의 향이 났다.,<nickname>의 낭만에 대하여 물을 수 있기를. 언젠가는... 꼭.,The path <name> dared to dream smelled of soft grass.,"Tomorrow, I’ll ask <name> what they dare to dream about. Tomorrow.",
9,sub_fossil,"“3025년, 정체불명의 동그란 외계 화석이 발견되다.”",뼈만 남은 공룡 선생의 말로를 상상하며 시간 위에 올라탔다.,“Year 3025—an unidentified round alien fossil discovered.”,Pictured the final days of a now skeletal dinosaur.,
9,sub_shootingstar,소원 비는 법을 배웠다. 잠이 오지 않으면 눈을 꼭 감고 밤새 소원을 빌어야지.,별들이 도착하는 밤에 인간들은 소원을 빈다고 했다. 그 방법이 뭘까? 궁금해.,Learnt how to make wishes. If I can’t sleep I’ll close my eyes and wish all night.,"Humans make wishes on nights stars arrive. How, though? If only I knew.",
10,sub_oldfriend,<nickname>의 추억 더미 속 유일하고 특별한 괴물 친구가 되고 싶어.,"창밖 인간들을 포착해 남겨 두고 싶은 오후. 난 그저 기억일까, 무려 추억일까?",I want to be the only monster friend in <nickname>’s pile of lasting memories.,"An afternoon for treasuring snapshots of humans. Will I linger, or will I last?",
10,sub_sunlight,해님도 달님도 닮지 않은 어느 동아줄은 부드러운 손바닥의 온도를 띤다.,햇빛에 타들어 갔다. 뜨거워. 뜨거웠어. 녹아 버리고 말았어.,"A lifeline, not like the sun or the moon, but the warmth of a soft palm.",Burning in the sun. Hot. Too hot. I couldn’t help but melt.,
10,sub_photo,진심으로 원하는 무언가가 나를 덜 외롭게 만들어 주는 건 아니야.,진심으로 원하는 무언가가 나를 덜 외롭게 만들어 주는 건 아니야.,The object of my yearning doesn’t make me less lonely.,The object of my yearning doesn’t make me less lonely.,
10,sub_selfharm2,조용히 파고드는 송곳. 예고 없이 몰아치는 우레. 쥐어 짜면 물이 흐르는 침대.,조용히 파고드는 송곳. 예고 없이 몰아치는 우레. 쥐어 짜면 물이 흐르는 침대.,A nail quietly digging in. Thunder raging without warning. A bed that drips when wrung.,A nail quietly digging in. Thunder raging without warning. A bed that drips when wrung.,
11,sub_selfharm1,벽에 검게 묻은 자국… 아주 끔찍하니 먹어서 치워 버릴 거야.,"내동댕이치고, 눌어 붙고, 미끄러진. 끔찍한 것.",,,
11,sub_moonletter,달빛을 머금은 내 편지가 한 순간 눈물처럼 빛났다. 답신을 받은 걸까?,달빛을 머금은 내 편지가 한 순간 눈물처럼 빛났다. 답신을 받은 걸까?,"My letter, cradling moonlight, briefly shone like a tear. A reply?","My letter, cradling moonlight, briefly shone like a tear. A reply?",
11,sub_babybird,지구에 하나뿐인 안락한 늪지대에서 자비롭게 노래해 준 아기 새! 잊지 못할 거야.,내 끈끈한 몸에 붙잡힌 아기 새가 버둥거리다 날아갔다. 그 지저귐은 비명이었을까? 노래였을까?,"Baby bird, you sang graciously at the only cozy swamp on Earth! I’ll never forget you.",A baby bird flailed in my sticky body before flying off. Was she screaming? Or singing?,
11,sub_selfharm3,괜찮다. 괜찮다. 괜찮아. 괜찮을 거야. 언제나 그랬으니까.,고독하게 무너져도 괜찮아. 괜찮을 거야. 언제나 그랬으니까.,It’s okay. It’s okay. It’s okay. It’ll be okay. It always has been.,It’s okay to fall apart in solitude. It’ll be okay. It always has been.,
12,sub_failure,창밖을 보고 있었던 것 같기도. 기억이 잘 나지 않네.,누군가 시간을 잘라낸 것 같아. 기억이 잘 나지 않네.,I think I was looking out the window. It’s hard to recall.,It’s like someone chopped off a block of my time. It’s hard to recall.,
12,sub_time,시간의 끝과 끝을 맞붙여 만들어낸 고리를 붙잡고 빙글빙글 도는 춤.,"뒤로 가기도 빨리 감기도 불가능한, 기다림의 시간.","Clinging to the ring made of time sewn together, an endless dance.","Unable to rewind or fast forward, but merely trapped in time.",
12,sub_jellyfish,해파리에게 심장이 생긴다면 너무 무거워서 가라앉아 버릴지도 몰라.,"<nickname>, 너도 해파리의 심장에 관한 비밀을 알고 있을까?",If jellyfish gain hearts they just might sink from the weight.,"<nickname>, do you know of the secret behind jellyfish hearts?",
12,sub_summer,한여름 눈부신 백색을 견디기 어려운 우리들만의 안식처는 어디일까?,나의 인간 친구가 맞을 여름은 부디 상냥하기를.,Where do we go to rest when summer is unforgivingly bright?,May this summer be kind to my human friend.,
13,sub_opportunity,어쩌면 유언이 아니라… 지구에게 건네는 작별 인사였을지도 몰라.,밤하늘을 올려다 보면 별이 되어 남겨진 로봇이 생각 난다.,Perhaps it wasn’t a dying message… but a goodbye to Earth.,The night sky reminds of the robot who became a star.,
13,sub_holdhands,내 몸은 어디든지 손이 될 수 있다. 그러니 ‘뭉치와 손잡기’는 조준하기 매우 쉬운 일이다!,서로의 ‘손’이 엮인 채 걷는 행인들을 발견했다. 무슨 의미일까?,I can conjure hands all over. So ‘holding hands with Dot’ should be easy!,Saw two passersby interlinked by their hands. Could it mean something?,
13,sub_moonbeings,레드는 달 뒤편을 은은하게 비추는 태양. 멀어져도 그 온기를 간직하고 있어.,레드는 달 뒤편을 은은하게 비추는 태양. 멀어져도 그 온기를 간직하고 있어.,Red—a sun shedding light on his Moon. I keep his warmth with me.,Red—a sun shedding light on his Moon. I keep his warmth with me.,
13,sub_sleepless,"잘 자, <nickname>. 겨우 감긴 눈꺼풀에 구름처럼 산뜻한 꿈이 묻기를.",언제나 잘 자. 사나운 밤에도 꿈이라는 다정한 염려가 너를 찾아갈 거야.,"Sleep well, <name>. May dreams soft as a cloud perch on your eyelids.",Sleep well. Even on the roughest of nights will dreams visit to look after you.,
