Key,Korean (South Korea)(ko-KR),English (United States)(en-US)
MR0202_L006,진짜라니까?,Are not.
MR0202_L007,가짜.,False.
MR0202_L008,♮♭~ ♩...?,♮♭~♫♩...?
MR0202_L009,"믿지 마, 첼로 경.","Do not indulge him, Sir Cello."
MR0202_L010,치커리 영감 정도라면\n환시를 볼 나이도 됐음.,Hallucinations. Not uncommon\nfor a man of Chicory’s age.
MR0202_L011,자러 가던 달나방 떼를\n귀신으로 착각했을 수 있음.,May have mistaken a swarm\nof Moon moths for a ghost.
MR0202_L012,그런 거겠지? 안심이\n되는 것 같기도 하고.,"Yeah? Boy, that’s a relief."
MR0202_L013,그래도 우리 네 명이\n함께라 다행이야.,I’m sure glad the four of us\nare together though.
MR0202_L014,"진짜든 아니든,\n귀신은 무서우니까.","‘Cause real or not,\nghosts are SCARY."
MR0202_L015,잠깐.,Wait.
MR0202_L016,네 명?,Four?
MR0202_L017,어...? 방금. 분명......!,Wait...? There’s no way......!
MR0202_L018,!!!,!!!
MR0202_L019,!!!,!!!
MR0202_L020,!!!,!!!
MR0202_L021,으아아아아아아아악!,AAAAHHHHHHHHHH!
MR0301_L001,해괴한 호수는 차오른다!\n퍼 담고 굳히고 긁어 내자!,The filthy lake is swelling high!\nScoop it up and scrape it dry!
MR0301_L002,짝짝이 팔다리 비틀어진 등허리!\n달 뒤편의 아래의 구석을 지키는!,"Uneven arms, twisted back!\nNo room here to cut some slack!"
MR0301_L003,우리는 달나라 청소부들!,We are the cleeeaners of the Moon!
MR0301_L004,으악. 이러다 허리가 휘겠어.,"God, my back is killing me."
MR0301_L005,이미 휜 편.,Perhaps.
MR0301_L006,그리고 그건 청소일\n때문이 아님.,But not due to cleaning.
MR0301_L007,네가 쉬는 동안 허리 펴기 귀찮\n다고 구부정하게 앉아서 그럼.,You slouch during break times\nrather than sitting straight.
MR0301_L008,"하지만 종일 일, 일, 일인걸?","But it’s been work, work,\nwork all day with an\nextra scoop of work!"
MR0301_L009,쉴 때엔 너무 피곤해서 웅크리고\n있어야만 살 것 같단 말이야.,I slouch because I’m just too\npooped to do anything else.
MR0301_L010,안 되겠어. 에디슨! 첼로 경!,I can’t take it anymore.\nEdison! Sir Cello!
MR0301_L011,이대로는 안 되겠어. 멋진\n어른 인간들을 본받자.,We gotta take a leaf from\nhumans and that book of theirs.
MR0301_L012,우리도 ‘집’과 ‘출퇴근’이라는\n제도를 만들어 보자!,"We’ll need a ‘home’,\nand ‘work hours’!"
MR0301_L013,음?,Hmm?
MR0301_L014,이 모닥불 구덩이를 우리의\n‘집’이라고 정하는 거야.,We’ll call this bonfire pit\nour ‘home.’
MR0301_L015,그리고?,Then?
MR0301_L016,그리고 할당량이라는 걸 정하자.,Then we assign ourselves\nworkloads for each day.
MR0301_L017,크레이터에서 퍼다 나른 폐기물\n로 구덩이를 열 개 채우면,"Once we fill ten pits with\nMoon filth from the craters,"
MR0301_L018,‘집’으로 퇴근!,we’re off the clock\nand get to go ‘home’!
MR0301_L019,♫♮♭♩♫!!,♫♮♭♩♫!!
MR0301_L020,별자리가 반의 반 뼘만큼 공전\n했을 때 다시 출근하는 거지!,We’ll go back to work\nwhen the constellations\nmove... THIS much.
MR0301_L021,괜찮은 것 같음. 한번 해 봐.,Sounds interesting.\nSuggest you give it a try.
MR0301_L022,같이 하자.,"No, WE will."
MR0301_L023,다 같이 하자!,All three of us!
MR0301_L024,.......,.......
MR0301_L025,알았음.,Affirmative.
MR0301_L026,♩♫♮ ~~!,♩♫♮ ~~!
MR0302_L001,집이 생겼어. 따끈한 모닥불...\n잘 구워진 돌 의자.,We have a home now.\nA warm bonfire... a toasty stone chair.
MR0302_L002,좋네.,It is nice.
MR0302_L003,♫♮♩... ♭♩?,♫♮♩... ♭♩?
MR0302_L004,조금 허전한 것 같다고?,You think something’s missing?
MR0302_L005,휑하기는 하다.,Guess it’s pretty empty.
MR0302_L006,이곳은 달 뒤편. 원래\n휑한 곳이다.,It is the dark side of\nthe Moon. Always empty.
MR0302_L007,하지만 우리의 영혼까지\n휑해질 필요는 없지.,But that doesn’t mean\nour souls have to be empty.
MR0302_L008,"우리, 집을 꾸며 보는 건 어때?",Why don’t we give\nhome decor a shot?
MR0302_L009,뭐...,Hmm.
MR0302_L010,... 좋음. 돌을 더 가지고 오겠다.,... Good. Will fetch more pebbles.
MR0401_L001,"에디슨, 첼로 경!","Edison, Sir Cello!"
MR0401_L002,꿈 공장에서 일하던\n시절을 추억할 시간이다!,Time to remember\nthe good old factory days.
MR0401_L003,가장 기억에 남는 하루 말하기 대회를 열자.,Let’s vote for\nA Day to Remember!
MR0401_L004,♫♫♮ ?,♫♫♮ ?
MR0401_L005,그건 무슨 대회임?,A Day to Remember?
MR0401_L006,꿈 공장 직원이었을 때 봤던 인간들의 하루 중,We’ll look back on humans\nand their days that\nwe saw in the factory.
MR0401_L007,"가장 기억에 남는 하루를 말하고, 우리끼리 우승자를 정하는 거다!","We’ll each share a memory,\nthen decide which day\nwas the most memorable!"
MR0401_L008,......?,......?
MR0401_L009,......?,......?
MR0401_L010,......,......
MR0401_L011,"크흠, 나부터.",Ahem. I’ll start.
MR0401_L012,내가 처음으로 담당했던 꼬마의 하루였어.,It was the first kid\nI was assigned to.
MR0401_L013,그 꼬마는 차곡차곡 용돈을 모아 무려 일 년을 매진했고,She saved her allowance\nfor a whole year.
MR0401_L014,결국 '띠부띠부 씰'을 전부 다 모으는 데 성공했다!,And got her hands on\na full set of baseball cards!
MR0401_L015,학교 친구들의 부러움을 한몸에 받았지. 기세등등하던 꼬마의 하루가 아직도 생생해.,Her friends worshiped her.\nI still remember\nhow triumphant she was.
MR0401_L016,"자, 다음 참가자는 에디슨이다.","Edison, you’re up next."
MR0401_L017,... 돌이켜보면 한 여덟 명 정도의 인간을 담당했던 것 같은데.,... I was assigned\na total of eight humans.
MR0401_L018,"그중 두 번째 맡았던 인간이 떠오른다. '노벨 물리학상'을 받는 게 그의 가장 절실한 꿈이었고,",The second human. His\nlifelong ambition was to\nwin the Nobel Prize in Physics.
MR0401_L019,그래서 난 그가 여덟 살일 때부터 일주일에 한 번씩 '노벨 물리학상'을 받는 꿈을 보내 주었었다.,"So ever since he was eight,\nI sent him that very dream\nonce a week."
MR0401_L020,그리고 그가 어른이 된 이후 정말 '노벨 물리학상'을 수상했음.,"And once he became of age,\nhe did win the Nobel Prize."
MR0401_L021,노벨 물리학상? 그게 뭐야?,Nobel Prize? What’s that?
MR0401_L022,노벨'이란 인간이 다른 인간들에게 주는 상장이라고 함. 인간들에겐 아주 의미 있는 모양이다.,A human named Nobel\nhands out awards. They mean\na great deal to humans.
MR0401_L023,기쁨에 겨워 빙글빙글 돌던 그의 춤사위를 단 하루도 잊어 본 적이 없음.,I have never forgotten\nhis celebratory dance.
MR0401_L024,첼로 경은? 약 마흔 명의 인간을 담당하지 않았어?,"And you, Sir Cello?\nDidn’t you look after,\nlike, 40 humans?"
MR0401_L025,이야깃거리도 많을 것 같은데!,You must have lots of stories!
MR0401_L026,♩♫  ♭♫~♫\n♩...♩♩♫……\n♫♮ ♭♩♫!,♩♫  ♭♫~♫\n♩...♩♩♫……\n♫♮ ♭♩♫!
MR0401_L027,~♩♫♮ ♩♫♮\n……~♫♫♩!,~♩♫♮ ♩♫♮\n……~♫♫♩!
MR0401_L028,......!!!,......!!!
MR0401_L029,"오와! 오와! 잠시만, 이걸 우리가 어떻게 이겨!",Whoa! Whoa! How are\nwe supposed to top that?
MR0401_L030,♩♫♩♭!!,♩♫♩♭!!
MR0401_L031,"마, 말도 안 돼. 거짓말! 거짓말!",Get out. You’re joking!
MR0401_L032,<가장 기억에 남는 인간의 하루 말하기 대회> 우승자는... 첼로 경인 걸로 하자...,And the winner of A Day to\nRemember is... Sir Cello.
MR0401_L033,♭♫~,♭♫~
MR0402_L001,"레드, 질문.","Red, a question."
MR0402_L002,그때.,Back then.
MR0402_L003,뭉치를 지구로 보내자고\n제안한 이유는 무엇?,Why suggest sending Dot to Earth?
MR0402_L004,"우리가 뭉치를 우주로 던지기\n직전, 뭉치가 했던 말 기억해?","Right before we launched Dot into space,\ndo you remember what they said?"
MR0402_L005,저기엔 꿈이랑...... 어쩌구.,Over there... Dreams...\nSomething like that.
MR0402_L006,‘저기엔 나를 꿈으로 삼아 줄\n다른 존재가 있을지도 몰라요.’,"‘Over there, someone may\nwant me as their dream.’"
MR0402_L007,"응, 맞아! 그거.","Yeah, right! That."
MR0402_L008,"뭉치는,","Dot,"
MR0402_L009,뭉치는... 꿈을 꿀 줄 알아.,Dot... can dream.
MR0402_L010,꿈?,Dream?
MR0402_L011,"폐기물에서 태어난 괴물....\n맞아, 유쾌한 존재는 아니지.",A monster born of filth...\nThey are not usually welcome.
MR0402_L012,그 검은 눈을 보고 있으면 희망...\n같은 무언가가 느껴졌어.,"But when I looked into Dot's eyes,\nI felt hope... or something like it."
MR0402_L013,어둡지만 분명했어.,They were dark but certain.
MR0402_L014,"그걸 인간에게 보내면, 그 인간은\n분명 행복해질 것 같았어!","So I thought if a human met Dot,\nthey would become happy for sure!"
MR0402_L015,.............,.............
MR0402_L016,"그리고 뭉치, 못생겼지만 귀여워.","And Dot’s cute, in an ugly way."
MR0402_L017,(높은 스타카토.\n웃음소리와 흡사하다.),"(A string of high staccatos,\nakin to laughter.)"
MR0402_L018,...... 저런.,......
MR0402_L019,나의 전구 머리로는 해독할 수\n없는 난해한 감상. 뭉치가 ‘귀엽다’니.,"Difficult to wrap my lightbulb head\naround this notion. Dot, ‘cute.’"
MR0402_L020,"에디슨, 그런 너는 내 제안을\n왜 흔쾌히 수락한 거야?","So why’d you give me\nthe okay then, Edison?"
MR0402_L021,너의 무모하고 멍청하고\n위험하기까지 한 제안?,"In spite of it being reckless,\nstupid, and dangerous?"
MR0402_L022,"(작게 투닥거리는 소리,\n레드가 궁시렁거린다.)",(Bickering noises.\nRed grumbling.)
MR0402_L023,너를 믿었기 때문임.,Because I believed in you.
MR0402_L024,"너의 계획은 무모하고 멍청하고\n위험하기까지 했지만, 따뜻했다.","Your plan was reckless, stupid, and\ndangerous. But still warmhearted."
MR0402_L025,네 불꽃 대가리가 밝혀 낸 가능성에\n희망을 걸어 보고 싶었어.,Wanted to pin my hopes on the\nwarmth your flame-head illuminated.
MR0402_L026,...... 인간을 보고 싶다는 열망이\n이성을 이겨 버린 후이기도 했고.,"...... Also, my desire to see a human\novercame my rational side."
MR0501_L001,에디슨! 같이 가!,Edison! Wait up!
MR0501_L002,헉... 헉...! 달나비들이\n갑자기 달려드는 바람에.,Huff... huff... Moon butterflies\ncame at me all of a sudden.
MR0501_L003,달-나비. 크레이터 주변에\n서식하는 날개 곤충.,Moon-butterflies.\nWinged insects inhabiting\nedge of craters.
MR0501_L004,무엇에 반응한 거지?,Reacting to what?
MR0501_L005,"그, 청소 구역 표시해 둔\n표지판 말이지.","Well, you know that sign that\nmarks all the cleaning spots."
MR0501_L006,내가 불 조절을 실수해서\n조금 태워 버렸다!,I messed up and it\nkinda caught on fire.
MR0501_L007,....조금? 확실해?,.....Kinda? Certain?
MR0501_L008,"크흠, 조금! 그래서 종이가\n타닥타닥 타들어 가는데...",Just a smidge! The paper\nwas burning away when...
MR0501_L009,서쪽에서 엄청나게 많은\n달나비들이 몰려오더라고!,A swarm of Moon butterflies\ncame at me from the south!
MR0501_L010,그리고 순식간에 날 에워싸는 거야!,Before I knew it I was\nsurrounded by them.
MR0501_L011,눈앞이 은색 물결로\n가득 채워졌어.,Wave after wave of silver\nrippling before my eyes.
MR0501_L012,"혼란스러웠지만,\n정말 아름다웠어!","Confusing, but beautiful!"
MR0501_L013,반짝이는 별가루를 떨어뜨리는\n달나비들의 비행이란!,Moon butterflies and their\nshimmering stardust flight.
MR0501_L014,....에디슨? 어디 가?,....Edison? Where you going?
MR0501_L015,내 연구실.,My lab.
MR0501_L016,달나비가 불에 타는 것에\n반응하는 이유를 탐구해야겠다.,Will investigate why Moon\nbutterflies burn in fire.
MR0502_L001,첼로 경은 왜 언어로 말하지 않게 된 거야?,...Why doesn’t Sir Cello\nspeak with words?
MR0502_L002,♫♮♭♩~,♫♮♭♩~
MR0502_L003,첼로로 아름다운 소리를 내던 인간?\n아! 첼로 경이 마지막으로 맡았던\n인간은 음악가였구나!,The human that created beauty with\nhis cello? Oh! So your last\nhuman was a musician!
MR0502_L004,♪~ ♩♭♫ !,♫♮♭♩...~♮♭
MR0502_L005,천재적인 실력? 세상에.......,An undeniable prodigy?\nOh my......
MR0502_L006,♭♫ ♪ ♫♭,♭♫ ♪ ♫♭
MR0502_L007,"그런데 거만했다니! 모든 천재 인간들은\n콧대가 높단 말이 있더라니, 역시였어!",But arrogant! So it’s true.\nGeniuses do look down on everyone else!
MR0502_L008,"어, 첼로 경! 송신기가 깜빡거려.","Oh, Sir Cello! The transmitter is blinking."
MR0502_L009,뭉치의 인간도 듣고 있을지 몰라.\n내가 첼로 경의 말을 번역해 줄까?,Dot’s human might be listening.\nShould I translate for you?
MR0502_L010,...~♮♭,♫♮♭♩...~♮♭
MR0502_L011,"인간, 내가 첼로 경에게 왜 말을 하지\n않게 되었는지를 물어보고 있었어.","Human, I was asking Sir Cello why\nhe no longer speaks in words."
MR0502_L012,너에게도 이야기를 공유하고\n싶대! 번역해 줄게. 나만 믿어!,"He’d like to share the story\nwith you as well! I’ll translate,\nyou can count on me!"
MR0502_L013,♫ ♫# ♮♭,♫ ♫# ♮♭
MR0502_L014,"그러던 어느 날, 첼로 경의 인간은\n사고로 손을 크게 다치고 말았어.","One day, he hurt his hand\nreal bad from an accident."
MR0502_L015,저런.... 오랜 기간 끝에 회복했지만\n다치기 전 실력은 되찾을 수 없었대.,He got better but could\nnever play like he used to.
MR0502_L016,♪ ♫#...,♪ ♫#...
MR0502_L017,"다른 이들은 그의 몰락을 지켜보며\n연민하기도, 유희처럼 즐기기도 했어.","Everyone watching his\ndownfall sympathized,\nbut they laughed too."
MR0502_L018,괴로워하는 인간의 꿈에서는\n끔찍한 소리만이 연주됐지.,Horrible melodies played in\nthe human’s nightmares.
MR0502_L019,♩♭♫ ♩♪...,♩♭♫ ♩♪...
MR0502_L020,"날카로운 말들로 가득찬 세상\n속에서 그를 위로할 수 있던 소리는\n첼로 선율만이 유일했지만,","Cello strings were the only source\nof comfort in a sea of cruel noises,"
MR0502_L021,이젠 사랑하던 음악마저 그의\n현실만큼이나 지옥이 되어 버렸고,but the music he once loved\nwas now as stark as reality. 
MR0502_L022,♪♪♩♫ ♩♭...,♪♪♩♫ ♩♭...
MR0502_L023,끝끝내 인간은 자신의 삶을\n연주하기를 포기해 버렸대.,And in the end... the human\ngave up playing his life.
MR0502_L024,첼로 경은 그의 음악을\n사랑했던 만큼 깊게 슬퍼했어.,"Sir Cello mourned, as he\nwas in love with his music."
MR0502_L025,슬픔을 헤엄치는 과정에서\n선율을 얻은 거야.,And while navigating\nthat grief he found music.
MR0502_L026,♫♮ ♩♩,♫♮ ♩♩
MR0502_L027,"‘언젠가 그에게, 말보다\n아름다운 선율을\n들려주고 싶어.’","I shall play a tune vastly\nmore beautiful than\nwords alone, just for him."
MR0502_L028,라고 말하네.,Says Sir Cello.
MR0601_L001,할 이야기가 있다 다들\n원을 이루게 모여 보도록.,Announcement. Everyone\ngather around in a circle.
MR0601_L002,"오오, 에디슨이 부를\n정도라니! 무슨 일이야?","Oooh, Edison’s got\nhot gossip! What’s up?"
MR0601_L003,♮ ♩♩ ♫ ?,♮ ♩♩ ♫ ?
MR0601_L004,어제 구석에 있는\n크레이터를 청소하러 나갔음.,Went to clean the crater\nin the corner yesterday.
MR0601_L005,거긴 오래 관리가\n안 되어 어두컴컴했다.,"A dark place, left unkempt."
MR0601_L006,"도구를 준비 하던 중, 크레이터 안에서\n무언가 뻗어 나온 것을 목격.",Witnessed something peeking\nout of the crater while preparing.
MR0601_L007,"그건 희뿌옇고, 나뭇가지처럼\n가느다란 손이었다.","A pale, thin hand\nresembling a branch."
MR0601_L008,마디가 기이할 정도로 길게 뻗은 그 손이\n나에게 인사를 건네고는 사라졌어.,Elongated fingers waved at\nme before disappearing.
MR0601_L009,직후에 크레이터 안을 확인해\n봤지만... 아무것도 없었음.,Scanned the crater immediately...\nfound nothing.
MR0601_L010,남은 것은 심연과 같은 어둠 뿐.,All that was left was\ndarkness like an abyss.
MR0601_L011,하하! 에디슨. 잘못 본 거 아니냐?\n연구하느라 눈이 나빠졌나 본데!,"Get outta here, Edison! Need\nnew glasses or something?"
MR0601_L012,전혀 무섭지 않아. 전혀!,Like that’s supposed\nto scare me. No way!
MR0601_L013,♫♮♭....,♫♮♭....
MR0601_L014,"아냐, 첼로 경! 내 불이\n흔들리는 건 추워서야. 크흠.","No, Sir Cello! My fire’s\nflickering cause it’s CHILLY."
MR0601_L015,♫♮~ ♫♮♭...~♫♭.....,♫♮~ ♫♮♭...~♫♭.....
MR0601_L016,"이, 일부러 무서운\n음악 연주하는 거지? 그만!",A-Are you playing creepy\nmusic on purpose? Stop it!
MR0602_L001,음? 에디슨이 안 보이네.,Hmm? I can’t find Edison.
MR0602_L002,"첼로 경, 에디슨\n어디 있는지 알아?","Sir Cello, know where Edison is?"
MR0602_L003,~♫ ♮♭,~♫ ♮♭
MR0602_L004,또 틀어 박혀서 연구하고 있군. 며칠째\n필라멘트 코빼기도 안 보이잖아!,Stuck in the lab again. We haven’t\nseen hide or filament of her for days!
MR0602_L005,"잠시만, 그렇다면....","Wait, does that mean..."
MR0602_L006,우리도 매일 출근하지\n않아도 괜찮은 거야?,We don’t have to come\nto work every day?
MR0602_L007,♫&  ♪ !,♫&  ♪ !
MR0602_L008,넌 알고 있었다고? 말도 안돼!,You knew already? No way!
MR0602_L009,그럼 나도 오늘\n청소 일을 쉬겠어.,Then I’ll take a day off\nfrom cleaning too.
MR0602_L010,"일을 안 하고... 음, 집에서...",I’ll just go home and... well...
MR0602_L011,....뭘 하지?,....Do what?
MR0602_L012,#♭♪ ♫&?,#♭♪ ♫&?
MR0602_L013,...맞아. 일이 없는 달의\n일상은 너무 무료해.,...You’re right. Life on the\nMoon with no work is boring.
MR0602_L014,"일이라고 부르지만, 사실은\n너희와의 산책과 다름 없으니까.","I call it work, when actually it’s\njust a nice stroll with you guys."
MR0602_L015,일하면서 슬픈 생각을\n잊는 것도 사실이고.,And I don’t have to think about\nsad things when I’m working.
MR0602_L016,"....쳇, 가자! 첼로 경.","....Ugh. Get those notes\nshaking, Sir Cello!"
MR0602_L017,오늘은 동쪽의 작은\n크레이터부터 청소해야겠어.,Today’s a day for cleaning\nthe small crater in the east.
MR0701_L001,"에디슨, 첼로 경. \n내가 여기 있는 줄은 어떻게 알았어?","Edison, Sir Cello. What are\nyou doing all the way here?"
MR0701_L002,아직 청소 덜 끝난 거 아니었어?,I thought you were\nstill cleaning?
MR0701_L003,"내 눈동자에 비치는 네 모습을 봐, 레드.","Your reflection in my eyes, Red."
MR0701_L004,시들시들해져서는\n 곧 꺼질 것 같다.,Flickering. About\nto be snuffed out.
MR0701_L005,...그 인간 아이 생각이 나는 것?,... Thinking of the human child?
MR0701_L006,♫♮......,♫♮......
MR0701_L007,이런...! 걱정시켰네. 맞아.,Oh...! Didn’t mean to\nworry you. But you’re right.
MR0701_L008,오늘같이 우주가 얼어붙은 듯\n고요한 날엔 그 애가 생각나서 말이야.,"When it’s silent like the\nuniverse has frozen over,\nI’m reminded of him."
MR0701_L009,시린 물 한가운데로 스스로\n걸어 들어간 그 애가.,The boy that walked into\nthe freezing water willingly.
MR0701_L010,....♩♫#♫♮♭.,....♩♫#♫♮♭.
MR0701_L011,그래. 시간이 흘렀는데\n조금도 잊혀지지 않았어.,Yeah. Time has passed but\nI haven’t forgotten a thing.
MR0701_L012,그 애의 하루를 들여다볼 때면\n느껴지던 깊고 깊은 외로움이.,That deep deep loneliness I felt\nwhenever I peered into his day.
MR0701_L013,내가 찰나의 온기라도\n되어줄 수 있었다면...,If I could have been a\nmoment of warmth for him...
MR0701_L014,달라졌을까? 그 애는\n살아갈 수 있었을까?,Would things be different?\nCould he have lived on?
MR0701_L015,아직도 그런 생각을 해.,These thoughts keep\nme up even now.
MR0701_L016,... 언제든 털어 놓아도 된다.,... You can always confide in us.
MR0701_L017,그런 후회를 하는 건\n크레이터를 치우는 이 공장\n아래의 모두가 마찬가지니까.,We all have regrets.
MR0702_L001,♬♬ ♬♬♬♬,♬♬ ♬♬♬♬
MR0702_L002,(멀리서 날개 바스락거리는\n소리가 들린다.),(Rustling of wings from afar.)
MR0702_L003,♫ ♪ ♫♪♫♪,♫ ♪ ♫♪♫♪
MR0702_L004,(더듬이 비비는 소리가 들려온다.\n달나방... 혹은 달나비일까?),(Squeaking of feelers.\nMoon moths or butterflies?)
MR0702_L005,♩♩ ♩♩♭,♩♩ ♩♩♭
