Key,Korean (South Korea)(ko-KR),English (United States)(en-US)
S2_L0008,싫어. 나의 마지막 인간 아이가 떠오른단 말이야. 그건 아름답지 않아.,I won’t. That story reminds\nme of my last human kid.\nNothing beautiful there.
S2_L0009,아름다운 인간이 왜 다른 아름다운 인간에게,"Why would one beautiful\nhuman leave an ugly hole,"
S2_L0010,평생을 틀어 막고 살아도 메워지지 않는 추한 구멍을 남기는 거야?,one that won’t mend for\nthe rest of their life\non a fellow beautiful human?
S2_L0011,.......,.......
S2_L0012,.......,.......
S2_L0013,아직도... 나의 인간을 괴롭히던 인간들의 표정이 생생하게 기억 나.,I... I still remember the looks\non the faces of the humans\nthat bullied my human kid.
S2_L0014,그건 정말로 아름답지 않았어. 비겁하고 끔찍했어.,They didn’t look beautiful.\nThey looked cowardly and awful.
S2_L0015,사랑하는 인간들에게 이런 마음을 가지는 것이 죄스럽지만... 난. 나는....,It kills me to feel this way\ntoward the humans I love...\nBut I. I....
S2_L0016,달리 어떻게 느껴야 할지 모르겠단 말이야....,I don't know how else to feel....
S2_L0017,.......,.......
S2_L0018,.......,.......
S3_L0001,수많은 얼굴들을 빙그르르 돌리던 하얀 모자 인간! 정말 황홀하고 아름다웠어!,"White Hat, spinning those\nendless faces! It was awesome!"
S3_L0002,우리 안에도 하얀 모자 인간처럼 수많은 얼굴들이 살고 있을까?,I wonder if we have many\nfaces inside too like that guy?
S3_L0003,우리는 그저 오물을 치우는 달 청소부들.,We are filth cleaners on the Moon.
S3_L0004,우리에게 다면성은 비효율적이고 시끄럽고 피로할 뿐.,"Multiple faces for us will be\ninefficient, rowdy and tiring."
S3_L0005,‘얼굴’은 하나면 충분함.,One ‘face’ is enough.
S3_L0006,아니! 나는 다섯 개 가지고 싶다!,Nope! I want five of ‘em!
S3_L0007,♩♩♩♩♩♩♩ ~!,♩♩♩♩♩♩♩ ~!
S3_L0008,첼로 경은 일곱 개 가지고 싶다는데!,And Sir Cello here wants seven!
S3_L0009,근데 왜 일곱 개지?,Why seven though?
S3_L0010,"아, 도레미-파솔라시!","Oh, do-re-mi-fa-sol-la-ti!"
S3_L0011,♪~ ♩♭♫ !,♪~ ♩♭♫ !
S3_L0012,... 그래.,... Fine.
S3_L0013,너는 몇 개?,How about you?
S3_L0014,"‘양면성’을 가진 기분은 궁금하나,\n효율성을 해치고 싶진 않다.\n그러니 두 개.",Three.
S4_L0001,♮♭♫ ♮~ ♬,♮♭♫ ♮~ ♬
S4_L0002,"그러게... 우리를 보고 싶어 했을 줄은 몰랐어. 짜식, 감동인걸!",I know... I didn’t think\nDot would miss us either.\nKid’s gonna make me cry!
S4_L0003,아무리 고민해도 뭉치가 우리를 다시 볼 수 있는 방법은 없다.,Zero possible ways for\nDot to see us again.
S4_L0004,그러니 뭉치의 그리움은 길 없는 그리움.,"Ergo, Dot will continue\nto long for us."
S4_L0005,.......,.......
S4_L0006,♬♪~ ♩♩......,♬♪~ ♩♩......
S4_L0007,"우리는 그 무게를 잘 알지. 하지만, 그럼에도......",We know well how heavy\nit feels. But even so......
S4_L0008,고마운 것 같음.,I feel gratitude.
S4_L0009,맞아. 뭉치가 정말 이곳에서의 기억을 잊겠다고 선택했으면 마음이 찢어졌을 거야.......,"Yeah. If Dot really chose\nto forget us, it would’ve\nbroken my heart......."
S4_L0010,♪♪ ♫♭♩......?,♪♪ ♫♭♩......?
S4_L0011,"걱정 마라, 첼로. 뭉치에게 그런 능력이 있다는 건 관찰하지 못했다.","Not to worry, Cello.\nDot showed no signs of\npossessing such abilities."
S4_L0012,"뭉치의 강렬한 소망이었을 뿐, 기억을 정말 지우지는 못했을 것임.",Merely a fervent desire.\nActual memory removal\nwould have been impossible.
S4_L0013,.......,.......
S4_L0014,뭉치는 똑똑한 괴물 덩어리니까. 아마 그도 알고 있었을 테지.,Dot is a clever critter.\nThey must have known.
S5_L0001,오늘 뭉치가 했던 말은...,What Dot said today...
S5_L0002,......,......
S5_L0003,......,......
S5_L0004,울어?,Are you crying?
S5_L0005,......,......
S5_L0006,안 울어! 안 운다고!,Am not! Am not!
S5_L0007,♫♫# ♮♭,♫♫# ♮♭
S5_L0008,"놀리지 마라, 첼로 경!","Not you too, Sir Cello!"
S5_L0009,♩ ♬ ♫♮,♩ ♬ ♫♮
S5_L0010,“나의 일부는 언제나 레드의 일부일 테야.”,“That part of Red will\nalways be a part of me.”
S5_L0011,...... ,......
S5_L0012,"이런, 진짜 울잖아.",Oh. You really are crying.
S6_L0001,뭉치는 찌질이 바보임.,Dot is dumb.
S6_L0002,똑똑한 괴물 덩어리일 줄 알았는데.,I thought they were\na clever blob of a monster.
S6_L0003,정말 떠날까 봐 어찌나 조마조마하던지.,I was so nervous thinking\nthey would actually leave.
S6_L0004,이것 봐. 머리 쥐어뜯느라 손이 다 시커매졌다니까.,Look. My hands are\nall sooty from\npulling out my hair.
S6_L0005,......더 시커매질 게 남았었던가?,...... Were they not sooty already?
S6_L0006,♮♭♫# ~~,♩ ♬ ♫♮
S6_L0007,"이미 성냥개비라니! 아니거든, 아니라고!","Who are you calling\na burnt-out matchstick!\nAm not, am not!"
S7_L0001,오늘 뭉치가 보고 온 인간 말이야.......,The human Dot observed today......
S7_L0002,웃을 때 참 아름다웠어. 주변이 환해지는 것 같았다고.,"His smile was so beautiful.\nLike, the world around him lit up."
S7_L0003,"얼굴이 빨갛다, 레드.","You’re blushing, Red."
S7_L0004,♫#  ♪♬ ??,♬♪♪♩-?
S7_L0005,아니! 아니! 왜 나에게 물을 붓지?,What? No! Why would\nyou throw water at me?
S7_L0006,싫어! 다시 타오르려면 한참을 말려야 한다고!,Come on! It takes me forever\nto dry myself and burn up again!
S7_L0007,아-아무튼.,A-Anyway.
S7_L0008,그 인간이 자신의 웃음을 지켜 냈으면 좋겠어.,I hope that human can\npreserve his smile.
S7_L0009,♭♬ ♪♪ ♪   ♬ !,♩ ♬ ♫♮
S7_L0010,"온전히 슬퍼하다 보면, 온전히 웃을 수도 있을 거라고?","“Once you’re entirely sad,\nyou’ll be able to\nsmile entirely as well?”"
S7_L0011,뭉치가 비슷한 말을 했던 것 같은데.......,Dot said something similar earlier......
S7_L0012,"잘 이해되지는 않지만, 멋있는 철학이 담겨 있을 것만 같은 말이다! 좋아!","I don’t completely understand it,\nbut there seems to be a splendid\nphilosophy behind it! I like it!"
S8_L0001,♬♬♬♬♬♮  ♪ !,♬♬♬♬♬♮  ♪ !
S8_L0002,뭐? 정말? 치커리 영감이랑 오물 치우느라 못 봤어!,What? Really? I didn’t catch it.\nI was out cleaning filth\nwith Old Man Chicory!
S8_L0003,"뭉치 이 자식, 결국 편지를 주러 다녀왔구나! 장하다!",I knew Dot could do it!\nThey finally delivered the\nletter! I’m so proud!
S8_L0004,♪♪ ....,♪♪ ....
S8_L0005,...! 가방에 넣으려다 몸이 지퍼에 뜯겼다고?,...! Part of Dot’s body was ripped out\nwhen they tried to put\nthe letter in the bag?
S8_L0006,♫ ♫ !,♫ ♫ !
S8_L0007,근데 또 다시 자라났어?!,But then the ripped-out part\ngrew back?!
S8_L0008,♩ ♮ ~,♩ ♮ ~
S8_L0009,다행이야.......,What a relief......
S8_L0010,그나저나 아이가 편지를 읽었을까? 읽었으면 좋겠다!,"Anyway, do you think the child\nread the letter? I hope he did!"
S8_L0011,"뭉치 글씨체, 하도 찌글거려서 해독할 수는 있을까 걱정이군.",Dot’s handwriting is so wriggly\nthat I worry he won’t be able\nto decode it.
S9_L0001,뭉치가 꿈이 되면 죽는다니... 한 번도 그렇게 생각해 본 적이 없어.,Dot dying once they become\na dream... I never thought\nof it that way.
S9_L0002,....... 난 뭉치에게 사실상 죽으라고 권유한 셈인 거야.,...... I basically egged Dot on\nto go and kick the bucket.
S9_L0003,이거야말로 정말 나쁘고 멍청한 놈이나 할 법한 짓이잖아!,What a suck-y stupid thing to say!
S9_L0004,게다가 꿈이 인간의 머릿속에서 영원히 살아가는 존재라고 믿고 있었을 줄은....,And to think Dot thought dreams\nlive on forever in a human’s mind...
S9_L0005,‘꿈은 인간의 영원한 친구’란 표어를 어떻게 그렇게 해석할 수 있냐는 말이야!!,Who understands ‘dreams are forever\nfriends’ like that!?
S9_L0006,"레드, 진정. 나 역시 미처 고려하지 못했음.","Calm down, Red. I too did not\nforesee this."
S9_L0007,"달에서 들었던 말들과, 인간들이 알고 있는 꿈에 대한 정보가 서로 부합하지 않을 때에는","When what Dot heard on the Moon\nand what humans know of\ndreams did not click,"
S9_L0008,그 균열을 본인의 상상으로 채워 나갔던 것 같음.,Dot seems to have filled that chasm\nwith their own imagination.
S9_L0009,♬♪♪♩-,♬♪♪♩-
S9_L0010,"그러게. 저 괴물 덩어리, 생각보다 바보였음.",Indeed. Even more foolish than\nwe thought.
S9_L0011,그나저나 정말... 이제 어쩌지.,So now... what to do.
S9_L0012,그냥... 우리 걱정 같은 건 하지 말고.,How about we just...\ndon’t worry.
S9_L0013,꿈이 되지 않고 오래 오래 살아 주면 좋겠어. 새까만 몸뚱이도 나름 귀엽단 말이야!,"I’d rather they don’t end up a dream\nand live long. Dot’s kinda cute,\nin a muddy way!"
S9_L0014,이걸 뭉치에게 전할 길이 있다면.......,If only there was a way\nto tell them......
S10_L0001,뭉치의 인간이 우리의 따스함을 알아주어 다행이었어.,I’m glad Dot’s human recognized\nus and our warmth.
S10_L0002,‘따스하게 겹쳐 쌓인 선율 같은 이들’이라 해 줬다고.,They called us ‘warmly layered melodies.’
S10_L0003,따스하게 겹쳐 쌓인 선율... 훌쩍.,Warmly layered melodies... <i>sniff</i>
S10_L0004,♪♪ ....,♪♪ ....
S10_L0005,정말 감동적이야.......,It’s just too much......
S10_L0006,.......,.......
S10_L0007,.......,.......
S10_L0008,그런데... 오늘 뭉치가 보고 온 인간을 떠올리면 마음이 다시 아파져.,But... thinking about the human\nDot saw today makes me sad.
S10_L0009,♭♬ ♪♪ ♪   ♬ !,♭♬ ♪♪ ♪   ♬ !
S10_L0010,"맞아, 간절히 응원하기. 우리가 할 수 있는 유일한 일이지.","You’re right, wishing them the best.\nIt’s all we can do."
S10_L0011,지구에선 보이지도 않는 달의 뒤편에서 보내는 응원이지만.,"Best wishes from the dark side of\nthe Moon, impossible to see\nfrom Earth."
S10_L0012,"무력해. 고통에 찬 인간에게 해 줄 수 있는 게, 그를 사랑하는 것밖에 없어....",I feel useless. All we can do\nfor a human in pain is\nto love them...
S10_L0013,♫♮ ♩,♫♮ ♩
S10_L0014,"정말? 우리의 존재를 몰라도, 보거나 느낄 수조차 없어도 힘이 될 수 있다니?","Really? Even if they can’t see or feel\nus, and don’t even know we\nexist, we can still help them?"
S10_L0015,♩♩♩!! ♬,♩♩♩!! ♬
S10_L0016,마음은 켜켜이 쌓인다...? 그게 무슨 뜻이지?,It collects like snowflakes...?\nWhat does that mean?
S10_L0017,음... 음... 으음... 여전히 모르겠어.,Hmm... mm... mmm...\nI’ve got nothing.
S10_L0018,하지만... 멋진 말이다!,But... it has a nice ring to it!
S11_L0001,"에디슨, 첼로 경! ‘루시드 드림’에 대해 알고 있었어?","Edison, Sir Cello! You ever\nheard of ‘lucid dreams?’"
S11_L0002,"처음 들음. 치커리 영감은 얼핏 알고 있는 듯했지만,","Negative. Old Man Chicory\nused to know about it,"
S11_L0003,나이가 하도 먹어서인지 기억이 가물가물한 것 같음.,but old age must have blurred\nhis memory.
S11_L0004,♩ ♬ ♫♮,♫♫# ♮♭
S11_L0005,뭐어? 두 번째로 맡았던 인간이 루시드 드리머였다고?,Whaaat? Your second human\nwas a lucid dreamer?
S11_L0006,어땠어? 어땠어? 세상에나 이런 일이! 루시드 드림은 어떻게 만들어지는 거야?,What was it like? That’s crazy!\nHow are lucid dreams created?
S11_L0007,♬♪♪♩- !,♬♪♪♩- !
S11_L0008,"우와! 신기해! 에디슨, 이게 말이 돼?","Wow! Cool! Edison, get this!"
S11_L0009,루시드 드림을 터득한 인간들의 꿈 구슬에는 작고 특별한 문이 달려 있대!,"Apparently lucid dreamers have a tiny,\nspecial door attached to their\nDream Marbles!"
S11_L0010,그 문을 통해 꿈속으로 들어가는 거야? 너무! 너무! 신비롭고 희귀한 일이다!,So they walk inside their dreams through\nthat door? This is so! so!\nmagical and rare!
S11_L0011,연구. 연구.,Research. Research.
S11_L0012,"...... 에, 에디슨?",...... E-Edison?
S11_L0013,연구 필요함. 연구 필요함.,Research needed. Research needed.
S11_L0014,전구 머리가... 엄청나게 빛나고 있어?,Her lightbulb head is...\nshining so bright!
S11_L0015,♫♫# ♮♭...?,♩ ♬ ♫♮...?
S12_L0001,우리에게도 암흑이 있을까?,Do you think there is darkness\nwithin us as well?
S12_L0002,암흑이라....,Darkness....
S12_L0003,음. 어젯밤 문득 이런 생각이 들었음.,Hmm. It occurred to me last night.
S12_L0004,"우리는 인간을 사랑하며 그 주위를 공전하도록 설계되었지만,","We were designed to love humans\nand revolve around them,"
S12_L0005,"결코 그들의 고마움도, 애정도, 인정도 받을 수 없지.\n그들은 꿈마저도 중요히 여기지 않는다고 하니....","but cannot receive their gratitude, affection, or\nacknowledgement. Especially since dreams are\napparently unimportant to them..."
S12_L0006,그게 부조리하다고 생각하며 세 시간 동안 우주 너머를 바라보았음.,I stared into space for three hours and\ncontemplated on the unfairness\nof the matter.
S12_L0007,막막하고 답답했다. 아마 나는 그때 내 암흑 속을 헤엄치는 중이었겠지.,Lonely and stifling. I suspect I had been\nworking through my own darkness\nat the time.
S12_L0008,♮♭♫# ,♮♭♫# 
S12_L0009,♭♬ ♪♪ ♪   ♬ !,♭♬ ♪♪ ♪   ♬ !
S12_L0010,뭐? 첼로 경! 첼로 경은 밤마다 악몽을 꾼다고? 저런.......,What? Sir Cello! You have\nnightmares every night?\nGeez......
S12_L0011,인간들은 수면 안대라는 것을 사용한다고 함.,Humans are reported to utilize\nsomething called a sleep mask.
S12_L0012,첼로 경을 위한 수면 안대 프로토타입을 한번 만들어 보겠음.,"I will attempt to construct a sleep mask\nprototype for you, Sir Cello."
S12_L0013,♪ ♪   ♬,♪ ♪   ♬
S12_L0014,나도... 차디찬 물로 걸어들어가던 그 인간 아이의 마지막 날을 떠올릴 때면,Me too... Whenever I think about my\nhuman kid and how he walked into\nthe cold cold water...
S12_L0015,엄청난 슬픔에 잠기게 돼......,It makes me sadder than anything......
S12_L0016,♪♪ ....,♪♪ ....
S12_L0017,으으.......,Oooh......
S12_L0018,우리의 암흑이 아무리 우리를 어렵고 힘들게 한다지만.,Even if the darkness inside makes\nus struggle and hurt.
S12_L0019,미워하고 싶지 않아.,I don’t wanna hate it.
S12_L0020,내 머릿속에서 암흑을 떼어 내면 그 아이도 함께 사라질 것만 같거든.,"I feel like if the darkness goes away,\nso will the kid."
S13_L0001,뭉치와의 작별이 얼마 남지 않았을 것만 같은 슬픈 예감이 들어.,I have a sad feeling that we have very\nlittle time until Dot leaves us.
S13_L0002,(슬픈 선율이 연주된다),(Sad music plays.)
S13_L0003,♪ ♪   ♬,♪ ♪   ♬
S13_L0004,"이제 뭉치의 눈을 통해 인간들을 바라보는 것도, 뭉치의 여정을 응원하는 것도 할 수 없어.","No more observing humans through\nDot’s eyes, or cheering Dot on."
S13_L0005,"다시 청소, 청소, 또 청소일 뿐인 일상으로 돌아가는 거야....","We’ll have to go back to our monotonous days\nof cleaning, cleaning, and more cleaning."
S13_L0006,♩ ♬ ♫♮,♩ ♬ ♫♮
S13_L0007,뭉치와 함께한 시간이 우리에게도 커다란 변화를 만들어 냈을 거라고?,You think our time with Dot will have\ntransformed us hugely?
S13_L0008,... 맞아. 다시 돌아가도 예전 같지는 않을 것임. 분명히 알 수 있다.,"You are correct. Even when we go\nback, things will not be the same.\nI am sure of that."
S13_L0009,문득 궁금한 게 생겼어.,"Wait, I have a question."
S13_L0010,... 우리는 뭉치의 인간에게 어떤 모양으로 각인될까?,... In what shapes will we be imprinted\non Dot’s human?
S13_L0011,.......,.......
S13_L0012,세 명이니 세모난 모양?,"A triangle, since there’s three of us?"
S13_L0013,웃어야 하는 거지?,"I’m supposed to laugh, right?"
S13_L0014,웃어라.,Laugh.
