Key,English (United States)(en-US),Korean (South Korea)(ko-KR),
S3_L0036,"Do you mind me asking\nwhat this is about, Dot?","혹시 뭉치, 지금 어떤 이야기를 하는 거야?",
S3_L0037,I’ve been reading\n<Peter Pan>.,<피터 팬>이라는 책을 읽게 되었어.,
S3_L0038,"And like him, pure and merry and at times\ncruel, I won’t be burdened by anything!","순수하고 쾌활한, 때로는 매정한 피터처럼\n난 그 어떤 것도 짊어지지 않으려 해!",
S3_L0039,"And so forever a child I will be,\nwith nothing to lose.","그래서 그 어떤 것도 잃을 수 없는,\n영원한 아이가 될 거야.",
S3_L0040,"No more loss, pressure, anxiety,\nor agonizing troubles!","그곳엔 상실이 없을 거야, 압박도, 불안도,\n고통스러운 고민들도 없을 거야!",
S3_L0041,(Cheer Dot on.)|(Speak of reality.),(눈감고 뭉치를 응원한다.)|(뭉치에게 현실을 이야기해 준다.),
S3_L0042,"Dot, the eternal child.",영원히 아이 같은 뭉치...,
S3_L0043,You’re not human so it might be possible!\nI’d like to cheer you on.,넌 인간이 아니니까 가능할지도\n모르겠네. 응원하고 싶어.,
S3_L0044,"But if you remain innocent forever,\nwon’t you have to give up on being a dream?","하지만 계속 지금의 천진한 뭉치로 남아\n있다면, 꿈 또한 될 수 없는 것 아니야?",
S3_L0045,...,...,
S3_L0046,Oh...? Oh... well...... I hadn’t\nquite thought of that......,어...? 어... 어...... 그건 정말이지\n생각도 못한 불상사인데......,
S3_L0047,(I was scared to grow up once too.)|(I couldn’t wait to grow up...),(나도 어릴 땐 자라는 게 무서웠지.)|(나는 빨리 어른이 되고 싶었었는데...),
S3_L0048,I was scared to grow up once too.\nI know how you feel.,나도 어릴 땐 자라나고 싶지 않았어.\n너의 마음을 알아.,
S3_L0049,"But Dot, growing up isn’t\nsomething to be afraid of!","하지만 뭉치야, 자라나는 건\n생각만큼 두려워할 일이 아니야!",
S3_L0050,"You know what, Dot? I couldn’t wait\nto grow up when I was young.","뭉치, 그것 알아? 나는 빨리 어른이\n되고 싶어 하던 아이였어.",
S3_L0051,Growing up was so much\nmore exciting than I’d thought!,자라나는 건 생각보다 신나는 일이었거든!,
S3_L0052,Maybe in books... but it’s hard\nto do so in the real world.,"그런데, 있지... 책 속이 아닌 실제의\n세계에서는 실현되기 어려운 일이야.",
S3_L0053,All children grow.,"모든 아이는 자라나기 마련이고,",
S3_L0054,"And so will you, because you have\nsomething you want to achieve.",뭉치 또한 이루고 싶은 꿈이 있으니까\n천천히 시간이 흐르며 자라나겠지.,
S3_L0055,Did you ‘grow’ too?,너 역시 ‘자라난’ 거야?,
S3_L0056,"Of course, I’m not\na child anymore.","그럼, 나도 더 이상 어린 아이가 아니지.",
S3_L0057,I wasn’t happy at first either. I was\nno longer free to romp about the sky.,나도 처음에는 아쉬웠어. 자라나기 위해\n하늘을 뛰노는 자유를 잃어야 하니까.,
S3_L0058,But in losing that freedom I gained\na different kind of power.,하지만 뛰노는 자유를 잃은 대신\n나에겐 또 다른 힘이 생겼어.,
S3_L0059,The power to do what?,어떤 힘?,
S3_L0060,To decide for myself.|To define myself.,스스로 결정을 내릴 수 있는 힘.|자신을 정의해 나갈 수 있는 힘.,
S3_L0061,The power to make decisions for myself\n without having to rely on others.,누군가에게 의지할 필요 없이\n스스로 결정을 내릴 수 있는 힘.,
S3_L0062,"And that power gave me responsibility,\nas well as a different form of freedom.",그 힘은 곧 책임감과 또 다른\n모양의 자유를 동시에 쥐여 줬어.,
S3_L0063,Not like that of a naive child\nwith no responsibilities.,책임 없이 마냥 뛰놀 수 있던\n아이의 자유와는 달라.,
S3_L0064,In a world where to gain something\nmeans to lose something,하나를 얻기 위해 당연히\n하나를 잃어야 하는 세상 속에서,
S3_L0065,"I’m free to decide what I’ll lose and gain,\nand free to face the consequences.","무엇을 얻고 잃을지를 나의 의지대로 선택하고,\n그 결과를 책임지고자 하는 자유지.",
S3_L0066,I didn’t know humans gained that kind of\npower. Will I have it too someday?,인간들에게는 그런 힘이\n생기는구나. 나에게도 그럴까?,
S3_L0067,After I become a dream?,꿈이 된 후에?,
S3_L0068,Well...|Of course.,글쎄...|그럼.,
S3_L0069,"Well, we can’t say\nfor certain just yet.",미래를 확신할 수는 없겠지.,
S3_L0070,But I remember dreams that\nrocked my day from start to finish.,하지만 어떠한 강렬한 꿈들은\n나의 하루를 종일 뒤흔들기도 했어.,
S3_L0071,And others that echoed in my\nmornings like gentle ripples.,아주 잔잔한 물결처럼\n아침을 울리던 꿈들도 있었지.,
S3_L0072,"If you become a dream that echoes within,\nthat would mean you have that strength.","뭉치가 울림을 주는 꿈이 된다면,\n힘이 생겼다고 말할 수 있을 거야.",
S3_L0073,Of course. The strength to determine\n someone’s morning.,"그럼. 한 사람의 아침을 좌우할 수 있는 힘,",
S3_L0074,Wouldn’t you have the strength to leave a\n single blot on someone’s subconscious?,한 사람의 무의식에 하나의 점을\n남길 수 있는 힘이 주어지지 않을까?,
S3_L0075,...!,...!,
S3_L0076,A single blot! Round like me?,하나의 점! 동그란 나를 닮은?,
S3_L0077,"Yes, and a sticky one to boot.|Yes, one with eyebrows to boot.","응, 이왕이면 끈적거리는 점.|응, 이왕이면 눈썹도 찍힌 점.",
S3_L0078,And you’re strong in your\nown way right now too.,그리고 지금의 뭉치만이 가진\n힘이 있을 거야. 그걸 잊지 마.,
S3_L0079,I don’t see it just yet...,아직은 보이지 않지만...,
S3_L0080,"But it might be hiding\nsomewhere, like you said.",정말 <nickname>의 말처럼\n어딘가에 숨어 있을지 몰라.,
S3_L0081,Pinned somewhere in my small black body...,내 작고 검은 몸 사이에 꽂혀 있다거나...,
S3_L0082,Hm. Hmmm...,으음. 으으으음...,
S3_L0083,I wonder how different I’ll be?,그때의 나는 어떻게 변해 있을까?,
S3_L0084,"What freedoms will I have, and\nwhat responsibilities will I bear?","어떤 자유를 누리며,\n어떤 책임을 지고 있을까?",
S3_L0085,The power to define myself infinitely.,자신을 무한히 정의해 나갈 수 있는 힘.,
S3_L0086,Being an adult doesn’t mean\nyou’re done growing up.,어른이 되었다는 게 성장이\n끝났다는 뜻은 아니야.,
S3_L0087,"You’ll be gifted with the opportunity\nto communicate with yourself,","자신과 긴밀하게 소통하며\n진정으로 원하는 것을 찾아가는 기회,",
S3_L0088,"discover what you truly want,\nand define yourself freely, every day.",자유롭게 나를 정의해 나갈 수 있는\n기회를 매일 매일 선물받게 되거든.,
S3_L0089,It will be like a brand new\nchapter of your growth!,성장의 새로운 챕터가\n시작되었다고 볼 수도 있을 거야!,
S3_L0090,"It requires responsibility, but more than\nworth it. It’s that fun and exciting.","무거운 책임감이 부여되기도 하지만,\n그만큼 재미있고 벅차오르는 일이야.",
S3_L0091,I didn’t know humans gained that kind of\nstrength. Will I have it too someday?,인간들에게는 그런 힘이 생기는구나.\n나에게도 그럴까?,
S3_L0092,After I become a dream?,꿈이 된 후에?,
S3_L0093,Well...|Of course.,글쎄...|그럼.,
S3_L0094,"Well, we can’t say for certain just yet.","글쎄, 미래를 확신할 수는 없겠지.",
S3_L0095,But some striking dreams would\nrock my day from start to finish.,하지만 어떠한 강렬한 꿈들은\n나의 하루를 종일 뒤흔들기도 했어.,
S3_L0096,And others would echo my\nmornings like gentle ripples.,아주 잔잔한 물결처럼\n아침을 울리던 꿈들도 있었지.,
S3_L0097,"If you become a dream that moves people,\nthat will mean you have that strength.","뭉치가 울림을 주는 꿈이 된다면,\n힘이 생겼다고 말할 수 있을 거야.",
S3_L0098,Of course. The power to determine\nsomeone’s morning.,"그럼. 한 사람의 아침을 좌우할 수 있는 힘,",
S3_L0099,Wouldn’t you have the power to leave a\nsingle blot on someone’s subconscious?,한 사람의 무의식에 하나의 점을\n남길 수 있는 힘이 주어지지 않을까?,
S3_L0100,...!,...!,
S3_L0101,A single blot! Round like me?,하나의 점! 동그란 나를 닮은?,
S3_L0102,"Yes, and a sticky one to boot.|Yes, one with eyebrows to boot.","응, 이왕이면 끈적거리는 점.|응, 이왕이면 눈썹도 찍힌 점.",
S3_L0103,And you have power just now too.,그리고 지금의 뭉치만이 가진\n힘이 있을 거야. 그걸 잊지 마.,
S3_L0104,I don’t see it just yet...,아직은 보이지 않지만...,
S3_L0105,"But it might be hiding\nsomewhere, like you said.",정말 <nickname>의 말처럼\n어딘가에 숨어 있을지 몰라.,
S3_L0106,Pinned somewhere in\nmy small black body...,내 작고 검은 몸 사이에 꽂혀 있다거나...,
S3_L0107,Hm. Hmmm...,으음. 으으으음...,
S3_L0108,I wonder how different I’ll be?,그때의 나는 어떻게 변해 있을까.,
S3_L0109,"What freedoms will I have, and\nwhat responsibilities will I bear?","어떤 자유를 누리며, 어떤 이름으로\n스스로를 부르고 있을까?",
S3_L0110,"Constant growth, constant change.\nBut if there’s something I hold tight to,","성장에 성장에 성장을, 변화에 변화를\n거듭하면서도 내가 꾹 쥐고 있는 게 있다면",
S3_L0111,it will help me realize\nwhat matters most to me.,그걸 바라보며 나에게 뭐가 제일\n소중한 것인지를 알아갈 수 있을 거야.,
S3_L0112,And what matters most to me might be growth.|And maybe that’s what growth is.,성장을 가장 소중히 여기게 될지도 몰라.|그것을 알게 되는 것이 바로 성장일지 몰라.,
S3_L0113,You’re right! Growing up might\nnot be so scary after all.,"응, 맞아! 성장한다는 게 생각보다\n두려운 게 아닐지도 모르겠어.",
S3_L0114,I’m still anxious...,분명 불안해지지만...,
S3_L0115,"but it’s a good kind of anxious,\nlike trembling butterflies.",지금의 떨림 안엔 설렘도 함께\n돌아다니는 것 같거든. 히히.,
S3_L0116,"<nickname>. What was it like,\nthe first time you opened your eyes?","<nickname>, 처음으로 눈을 떴던 순간,\n넌 어떤 기분이었어?",
S3_L0117,The first time I opened my eyes?,처음으로 눈을 떴던 순간?,
S3_L0118,You mean this morning?|Uh. What do you mean?,오늘 아침에 나의 기분은...|어... 그게 무슨 뜻이야?,
S3_L0119,"When you came into this world, and\nopened your eyes for the first time.","아, 음, 음... 그러니까... 네가 세상에 태어나\n처음으로 두 눈을 뜨게 되었던 순간 말이야.",
S3_L0120,"Looking back on that moment,\nwhat do you see?",그 순간은 어땠어? 너에게\n어떤 기억으로 남아 있어?,
S3_L0121,"(Oh, so Dot was being literal.\nI honestly don’t remember...)","(아, 정말 갓 태어났을 때 말이구나.\n전혀 기억이 나질 않는데...)",
S3_L0122,Well... I can’t remember anything.,사실... 하나도 기억나지 않아.,
S3_L0123,Does anyone have memories of\nbeing a baby? I wouldn’t know.,갓난 아기일 때의 기억을 아직도\n기억하는 사람이 있을까? 잘 모르겠네...,
S3_L0124,"But it was the first time the,\nworld flooded your senses!",첫 숨을 틔워 내며 세계를\n온몸으로 감각한 순간인데도?,
S3_L0125,"Such a powerful moment,,\nand you remember nothing? How?",그다지도 강렬하고 아름다운 찰나에\n 대한 기억이 없단 말이야? 어째서?,
S3_L0126,Humans periodically ‘forget’ things.,음... 인간들에게는 주기적으로 ‘망각’이라는 것이 찾아와.,
S3_L0127,"As in, we lose our memories.","기억에서 지워진다는 뜻인데,",
S3_L0128,So old memories either evaporate\nor linger as vague images.,"그래서 아주 오랜 기억들은 대부분 사라지거나,\n어렴풋한 잔상으로나마 존재하게 돼.",
S3_L0129,Forgetting... an unfamiliar concept\nbut one I’d like to comprehend.,망각. 망각... 생소하지만 이해하고 싶어.,
S3_L0130,I need time to absorb this.\nI hope we’ll talk about ‘forgetting’ later.,시간이 필요해. 나중에 다시 기억에\n대한 이야기를 나눌 수 있었으면 좋겠다.,
S3_L0131,Well...,음...,
S3_L0132,"What about you, Dot?",뭉치 너는?,
S3_L0133,If you remember opening your eyes\nfor the first time... what was it like?,최초로 눈을 뜬 순간이 기억\n난다면... 너에겐 어떤 순간이었어?,플 -> 뭉
S3_L0134,Alright. The very first time.,응. 내가 최초로 눈을 뜬 순간.,
S3_L0135,......,......,
S3_L0136,It was my first time experiencing life.,그건 처음 느껴 본 ‘생’의 감각이었어.,
S3_L0137,"My first pair of eyeballs, too, so it took\na while to get a good look at him.",처음 가져 보는 눈알과 씨름하느라 그를\n제대로 살피기까지는 오랜 시간이 걸렸는데.,
S3_L0138,"But when I finally did, I saw a silent\nbut flickering body of heat.",조금 적응이 되니 눈 앞에 고요하지만\n뜨겁게 일렁이는 형체가 보였어.,
S3_L0139,It was a boy with flaming red hair.,불을 닮은 소년이었지.\n그의 이름은 ‘레드’였어.,
S3_L0140,I think you mentioned him before.\nWas he one of the factory workers?,전에 뭉치에게 들어 본 적 있는 이름이야.\n그도 꿈 공장의 직원이었던 거야?,
S3_L0141,"No. There must be moon people\nabove the factory, but the ones I met","아니. 꿈 공장 위에도 달 사람들은\n살겠지만... 나와 함께 있던 이들은,",
S3_L0142,lived under the factory. Cleaning the\nCrater where dream filth is discarded.,꿈 공장 아래에 살았어. 꿈 폐기물이\n버려지던 구덩이인 ‘크레이터’를 청소하며.,
S3_L0143,"Oh, I see.","아, 그렇구나.",
S3_L0144,"(Crater Cleaners. I guess hierarchy\nexists everywhere, even on the Moon.)",(크레이터 청소부라니. 꿈 공장 위와\n아래의 풍경이 사뭇 다른가 보네...),
S3_L0145,...,...,
S3_L0146,So did the fire boy help you open your eyes?,그러면 그 불 소년 ‘레드’가 네가 눈을\n뜨는 것을 도와주었던 거야?,
S3_L0147,"Yes, <nickname>, I just knew.","응, <nickname>, 직감적으로 알 수 있었어.",
S3_L0148,"From the chalk in his hands, I knew\nhe was the one to drew me my eyes.","손에 분필이 들려 있었던 것으로 보아,\n나에게 눈을 그려 주었던 건 그였을 거야.",
S3_L0149,Draw you your eyes?,너에게 눈을 그려 준?,
S3_L0150,"Yes, I was nothing but a drop of filth\non the floor... and he drew me my eyes!","응, 우연히 바닥에 떨어진 오물 방울에...\n그가 분필로 눈을 그려 주었어!",
S3_L0151,"(And it worked, just like that?)|(How sweet. No wonder Dot likes him.)",(대체 어떻게 그런 일이 가능한 거지?)|(따뜻한 마음씨네. 그래서 레드를 좋아했구나.),
S3_L0152,(Was the chalk special or something?\nOr... was the filth? I wonder.),(분필에 특별한 힘이라도 있던 걸까?\n아님... 그 오물에? 알 길은 없겠지만...),
S3_L0153,(How sweet. Curious hands drew\na pair of eyes and brought Dot to life.),(따뜻한 이야기야. 호기심 어린 손길로\n그린 눈 한 쌍이 뭉치를 ’존재’하게 했구나.),
S3_L0154,The first thing I felt as I looked\nup at him was... warm.,그를 올려다보며 처음\n느꼈던 감각은... ’따뜻하다.’,
S3_L0155,"Not like a flame, but like\nembers among a heap of ashes.","모닥불처럼은 아니지만, 타다\n남은 잿더미 속 불씨만큼은 따뜻했어.",
S3_L0156,"As our eyes met, he startled before\nplacing me in the palm of his hand,","그는 나와 ’눈’이 마주치자 아주 놀라며\n내 몸뚱이를 손바닥에 얹어 들어올렸고,",
S3_L0157,And I smelled something smoky...\nlike wild grass burning.,그때 그의 손에선 들풀\n타는 향이 났던 것 같아.,
S3_L0158,(Nod)|(Pat Dot on the head),(고개를 끄덕인다.)|(뭉치를 쓰다듬어 준다.),
S3_L0159,"He looked at me and said,\n“Oh...? Oh! OH! Hi there.”",그 소년은 날 보며 “오...? 오! 오!!\n안녕?”이라는 말을 했고,
S3_L0160,"I stared into his eyes with my eyes,",난 내 두 눈알로 그의 두\n눈알을 한참 마주보다가,
S3_L0161,"And I just knew—that\nI would remember his face,","그의 얼굴, 이 손바닥의 온기를 나는 아주,\n오래 기억하겠구나—직감했을 뿐이야.",
S3_L0162,and the warmth of his palms\nfor a very long time.,그렇게 나의 첫 번째 기억은 끝이 나.,
S3_L0163,That’s how my first memory ends.,"약 이삼 초의 시간이 지나고 난 후,",
S3_L0164,"A few seconds later,","내 엉덩이가 그의 따가운 촛불 같은,\n손 위에서 조금씩 녹아 내리려 하던 때에.",
S3_L0165,"Just as my bottom was about to melt\nfrom the candle-like heat of his palm,","내 주변으로 다른 이들이,\n몰려들어 조금은 소란해졌어.",
S3_L0166,people crowded around me\nand it became rather noisy.,......,
S3_L0167,... That’s all there is to this story.,그게 이 이야기의 끝이야.,
S3_L0168,<nickname>. Hello.,<nickname>. 안녕.,
S3_L0169,I can’t seem to sleep. I’m swathed in all\nthese thoughts crawling through my head.,잠이 잘 오지 않네. 머리를\n기어오르는 사념에 휘감겨 있느라.,
S3_L0170,... How about we talk? You might\nfeel better afterwards.,... 이야기해 줄래? 대화하고\n나면 괜찮아질지 모르니까.,
S3_L0171,...,...,
S3_L0172,All filth has black in it.,불결한 모든 것에는 다 검정이 있어.,
S3_L0173,I thought it was only so on the Moon.,"달에만 그럴까 싶었는데,",
S3_L0174,But it wasn’t. It’s the same on Earth.,아니었어. 지구에서도 같아.,
S3_L0175,What do you mean by that?,그게 무슨 말이야?,
S3_L0176,The Dark willingly hides\nthe most filthy and vile of beings.,한 줄기 빛조차 들지 않는 암흑은 가장 불결하고\n불쾌할지 모르는 존재들을 기꺼이 숨겨 줘.,
S3_L0177,And becomes a symbol for them.,그리고 그들의 상징이 돼.,
S3_L0178,"Black cats and ravens, villains\nand devils. War, funeral, death.","흑묘와 까마귀, 악당과 악마.\n전쟁, 장례, 죽음.",
S3_L0179,"All that is evil, fearful, painful, cursed.","악한 것, 두려운 것,\n고통스러운 것, 불운한 것.",
S3_L0180,They all lurk under\nthe blanket of the Dark.,전부 암흑의 이불 아래 도사려.,
S3_L0181,"And one day, on a peaceful afternoon\nwhen everyone least expects it,","그러다 어느 날, 그 누구도 예상하지 못했던,\n아주 평화로웠던 어느 오후에",
S3_L0182,"they will reach out to the sunlit world,","그들은 양지의 세계로 손 뻗어,",
S3_L0183,and stain all that was\nbeautiful one by one.,아름다웠던 모든 것들을\n하나씩 오염시킬 거야.,
S3_L0184,"Slowly, sickeningly, and secretly.","느리게, 추잡하게, 그 누구도 모르게.",
S3_L0185,I’ve felt that way too.|That won’t ever happen.,무슨 말인지 너무 잘 알아.|그런 일은 일어나지 않아.,
S3_L0186,Sometimes the dark terrifies me.\nEspecially what lurks inside it.,나도 암흑이 끔찍하게 느껴질 때가 있거든.\n그 속에서 도사리는 것들까지.,
S3_L0187,I’m scared they might swallow me whole.,나의 마음을 잡아먹을까 두렵기도 하지.,
S3_L0188,"But... as long as we’re\ntogether, we’ll be safe!","하지만... 너와 내가 같이\n있는 한, 우리는 안전할 거야!",
S3_L0189,Fear of the dark only grows\nwhen you’re alone.,암흑에 대한 공포는 혼자 있을 때\n가장 강해지는 법이니까.,
S3_L0190,You... You can’t keep me safe.\nNo one can...,너는... 나를 지켜 줄 수 없어.\n그 어떤 것도 나를...,
S3_L0191,"You’re safe. You have your own little corner,\nand a snug spiderweb bed.","넌 안전할 거야. 너만의 작은 모퉁이도 있고,\n아늑한 거미줄 침대도 있는걸.",
S3_L0192,And you have me.,무엇보다 내가 있잖아.,
S3_L0193,The Dark can’t hurt you.,암흑은 너를 해칠 수 없을 거야.,
S3_L0194,"My dark corner, my snug\nweb, and not even you","나의 어둑한 모퉁이도, 아늑한\n거미줄도, 심지어 너 역시",
S3_L0195,can’t keep me safe.,나를 지켜 줄 수 없어.,
S3_L0196,"No, no, no. I became emotional\nand was careless... I’m sorry.","아니, 아니, 아니야. 감정에 휩쓸려\n실언을 했어... 미안해.",
S3_L0197,I’m thankful that you’re here. But...\nit’s not that I am afraid of them.,네가 있다는 사실엔 감사하지.\n그러나... 난 그것들을 두려워하는 게 아니야.,
S3_L0198,I... I can’t be afraid of them.,난... 난 그것들을\n두려워하지 못하는걸.,
S3_L0199,...,...,
S3_L0200,It’s a part of me...,날 구성하는...,
S3_L0201,"The deep, sickening darkness of\nthat squelching filth...","그 질척한 오물의 깊고,\n징그러운 암흑을...",
S3_L0202,And I...,나는 그걸...,
S3_L0203,Oh... oh.,아... 아.,
S3_L0204,I look at myself and I...,"나는 어쩌면 나를, 나를...",
S3_L0205,...,...,
S3_L0206,Vile. Filthy.,불쾌해. 불결해.,
S3_L0207,That’s the kind of black this is.,이건 그런 검정이야.,
S3_L0208,That’s... this is...,이건... 그런...,
