Sub,ScriptNumber,LineKey,Color,Actor,AnimState,DotAnim,TextType,KorText,EngText,NextLineKey,DeathNote,AfterScript,Exeption
2,76,39,1,Player,Sub,anim_eyesblink,text,"아, 손잡는 사람들을 봤구나! 연인도, 가족도...\n정말 누구나 서로의 손을 잡을 수 있지.","Ah, you saw peoople holding hands. Lovers\ndo it, families do it... Anyone can, really.",40,,,
2,76,40,1,Dot,Sub,anim_eyesblink,text,손잡다. 손잡다. 너도\n누군가와 '손을 잡아'?,Hold hands. Hold hands.\nDo you hold hands too?,41,,,
2,76,41,1,Player,Sub,anim_eyesblink,text,"응, 가까운 사람과는 손을 잡지.","Yes, if I'm close to someone.",42,,,
2,76,42,1,Dot,Sub,anim_eyesblink,text,그건 무슨 감각이야?,How does it feel?,43,,,
2,76,43,1,Player,Sub,anim_eyesblink,selection,가슴 뛰고 설레는 일이야.|안정감이 들어.,It's sweet and thrilling.|It makes me feel safe.,44|56,sun|moon,,
2,76,44,1,Player,Sub,anim_eyesblink,text,"어렴풋이 들리는 사랑 노래의\n리듬에 맞춰 심장이 뛰기 시작하고,",My heart starts beating to the\ndistant rhythm of love songs.,45,,,
2,76,45,1,Player,Sub,anim_eyesblink,text,우리는 나란히 선 채 손을\n꼭 잡고 발 맞춰 걷는 거야.,"Side by side, two companions\nwalking in tandem.",46,,,
2,76,46,1,Dot,Sub,anim_eyesblink,text,손을 맞잡는 행위로 심장이 더욱\n빨리 뛸 수 있다는 게 신기해.,It's fascinating how holding hands\ncan make your heart beat faster.,47,,,
2,76,47,1,Dot,Sub,anim_eyesblink,text,설레이는 마음을 품고\n더욱 빨라지는 심장....,A heart that races with\nfeelings for someone...,48,,,
2,76,48,1,Dot,Sub,anim_eyesblink,text,인간에게도 심장은 주요한 생명 유지 장기\n아니야? 위험하지 않아? 터지면 어떡해?,Isn't the heart a critical organ for humans?\nWon't it be dangerous? What if it explodes?,49,,,
2,76,49,1,Dot,Sub,anim_eyesblink,text,상상이 안 가는 걸. 내 심장은 그저\n규칙적으로 박동하는 물컹한 구체일 뿐인데.,I can't imagine. My heart is just a mushy\nglob that happens to beat regularly.,50,,,
2,76,50,1,Player,Sub,anim_eyesblink,text,네 심장도 다채로운 색채로 물들잖아.\n수채화 물감이 종이 위에 스미듯 말이야.,"Your heart turns into a rainbow of colors too,\nremember? Like how watercolor paints paper.",51,,,
2,76,51,1,Player,Sub,anim_eyesblink,text,지구에 그런 심장을 가진\n건 네가 유일할 거야.,I'm sure you're the only one\non Earth with a heart like that.,52,,,
2,76,52,1,Player,Sub,anim_eyesblink,text,"그리고 중요한 건, 우리의 심장이\n우리의 감정을 따른다는 사실이 아닐까?",And what's really important is that\nour hearts follow our emotions.,53,,,
2,76,53,1,Dot,Sub,anim_sub_heart,text,감정을 따르는 심장....,A heart that follows emotions...,54,,,
2,76,54,1,Dot,Sub,anim_sub_heart,text,연약한 심장조차 감정을 따라\n과감히 박동하거나 물든다니.,A heart that follows emotions to\nboldly change color or rhythm.,55,,,
2,76,55,1,Dot,Sub,anim_sub_heart,text,나의 심장 역시... 그렇게 다정하고 대담하단 걸까?,Does that mean my heart... can\nalso be that kind and brave?,,,,
2,76,56,1,Player,Sub,anim_eyesblink,text,"편안하고, 따스하고,\n부드러운 감각이야.","It's a comfy, warm, and soft feeling.",57,,,
2,76,57,1,Player,Sub,anim_eyesblink,text,"호흡이 진정되기도 하지, 편안한 집에\n누워 자장가를 듣고 있는 것처럼.","My breathing calms, as if I'm\nfalling asleep to a lullaby.",58,,,
2,76,58,1,Dot,Sub,anim_eyesblink,text,손을 맞잡는 게 그런 효과를\n낼 수 있다는 게 신기해.,It's fascinating how holding\nhands can do that.,59,,,
2,76,59,1,Dot,Sub,anim_eyesblink,text,좋아하는 사람과 닿으면\n차차 안정되는 숨결....,Breathing that slowly calms from\ntouching someone you care for...,60,,,
2,76,60,1,Dot,Sub,anim_eyesblink,text,어렴풋이 이해될 것 같기도 하지.,I think I can understand.,61,,,
2,76,61,1,Dot,Sub,anim_eyesblink,text,네가 날 쓰다듬어 줄 때에도\n비슷한 평화를 느끼거든.,I feel a similar sense of\npeace when you stroke me.,62,,,
2,76,62,1,Player,Sub,anim_eyesblink,text,"손을 잡고, 안아 주고, 쓰다듬는 모든\n행위들은 애정을 표현하는 수단이니까.","Holding hands, hugging, stroking.\nThey're all expressions of affection.",63,,,
2,76,63,1,Player,Sub,anim_eyesblink,text,"손을 잡고, 안아 주고, 쓰다듬는 모든\n행위들은 애정을 표현하는 수단이니까.","Affection may not be special,\nsince we all exchange it.",64,,,
2,76,64,1,Player,Sub,anim_eyesblink,text,그렇기에 아주 특별해지기도 해.,But that's exactly why it <i>is</i> special.,65,,,
2,76,65,1,Player,Sub,anim_eyesblink,text,"손을 잡고, 안아 주고, 쓰다듬는 모든\n행위들은 애정을 표현하는 수단이니까.",How warm it feels that\nall life can give affection.,66,,,
2,76,66,1,Dot,Sub,anim_eyesblink,text,.... 나도 이 손으로 누군가에게\n애정을 줄 수 있을까?,...Could I give affection to\nsomebody with these hands?,67,,,
2,76,67,1,Dot,Sub,anim_eyesblink,text,평화를 느끼게 할 수 있을까?,Could I give them peace?,68,,,
2,76,68,1,Dot,Default,anim_writing,text,이 작고 끈끈한 손으로....,"With these small, sticky hands...",,,anim_writing,
3,77,69,1,Dot,Default,anim_writing,text,"레드, 레드. 보고 있지?","Red, Red. You're watching, aren't you?",70,,,
3,77,70,1,Dot,Default,anim_writing,text,어떻게 알았냐고? 사실은....,How can I tell? Well....,71,,,
3,77,71,1,Dot,Default,anim_writing,text,레드가 내 납작한 눈알과 이어지는 순간을 이따금 느낄 수 있어.,Sometimes I can feel you tapping into my flat eyeballs.,72,,,
3,77,72,1,Dot,Default,anim_writing,text,몸 속 어딘가에서 고양이 수염만큼 미세한 온기가 느껴지거든.,"I feel a warmth somewhere inside me, as faint as kitten whiskers.",73,,,
3,77,73,1,Dot,Default,anim_writing,text,.... 따뜻해. 지금도.,.... Warm. Even now.,74,,,
3,77,74,1,Dot,Default,anim_writing,text,"있지, 레드. 인간들은 종종 답장이 오지 않을 걸 알면서도 편지를 써.","You know, Red. Humans sometimes write letters knowing they won't get one back.",75,,,
3,77,75,1,Dot,Default,anim_writing,text,그리고는 다양한 이름을 붙이지.,And label them in many different ways.,76,,,
3,77,76,1,Dot,Default,anim_writing,text,"한 편의 시, 오늘의 일기, 간절한 기도.","A poem, a journal entry, an earnest prayer.",77,,,
3,77,77,1,Dot,Default,anim_writing,text,난 그 모든 덧없는 일들을 간직하며 모방해.,I cherish all those fruitless attempts and imitate them.,78,,,
3,77,78,1,Dot,Default,anim_writing,text,지금 내가 달 뒤편 레드에게 말을 거는 것도 그런 종류야.,"This—talking to you, all the way on the other side of the Moon—is something like that.",79,,,
3,77,79,1,Dot,Default,anim_writing,text,네가 본 '나'의 여정은 어땠어?,What do you think of my journey?,80,,,
3,77,80,1,Dot,Default,anim_writing,text,생에 처음 아래로부터 바라본 인간들은 어땠어?,What was it like to gaze at humans from down there?,81,,,
3,77,81,1,Dot,Default,anim_writing,text,무엇을 기대하고 무엇에 실망했어?,"What were you expecting, and what were you disappointed by?",82,,,
3,77,82,1,Dot,Default,anim_writing,text,어쩌면 하나하나 감탄하며 달의 바다 밑에 새겨 놓았을까?,"Did you ooh and aah at every encounter, and etch them under the sea of the Moon?",83,,,
3,77,83,1,Dot,Default,anim_writing,text,에디슨이라면 분명 그랬을지도.,I know Edison will have.,84,,,
3,77,84,1,Dot,Default,anim_writing,text,언젠가 우리가 우주의 질서 아래서 다시 만나게 된다면 잊지 말고 알려줘.,"If we ever meet again under the order of the universe, make sure you tell me all about it.",85,,,
3,77,85,1,Dot,Default,anim_writing,text,"아, 그저 검은 점액 뭉치였을 때부터 하고 싶었던 말이 있어.","Oh, and something I've always meant to tell you since I was a black lump of goo.",86,,,
3,77,86,1,Dot,Default,anim_writing,text,포기하지 않아줘서 고마워.,Thank you for not giving up on me.,87,,,
3,77,87,1,Dot,Default,anim_writing,text,네가 나를 알아본 순간 나도 널 알아봤어.,I recognized you the moment you recognized me.,88,,,
3,77,88,1,Dot,Default,anim_writing,text,네가 그 소년에게 그랬던 것처럼....,Like you did with your human kid...,89,,,
3,77,89,1,Dot,Default,anim_writing,text,내게도 결코 꺼지지 않는 불꽃이 될 것임을.,That you would be an unending flame to me as well.,,,,
4,78,90,0,Dot,Sub,anim_eyesblink,text,유독 잠이 잘 오지 않는 날들이 있어?,Are you having trouble falling asleep?,91,,,
4,78,91,0,Dot,Sub,anim_eyesblink,text,있다면... 잠들지 못하는 너에게 해 주고 싶은 말이 있어.,How come you aren't going to sleep?,92,,,
4,78,92,0,Dot,Sub,anim_eyesblink,text,"<nickname>, 네가 나와 같이 긴 밤을 잠들지 않고 보내며","<nickname>, on one hand I\nhoped you'd stay awake with me",93,,,
4,78,93,0,Dot,Sub,anim_eyesblink,text,"많은 시간과 생각을 공유해 주길 꿈꾸는 마음도 분명 있었지만,",and share your thoughts throughout the night.,94,,,
4,78,94,0,Dot,Sub,anim_eyesblink,text,그래도 이젠 아니야. 인간에게 양질의\n수면이 중요하다는 걸 알게 됐거든.,But not anymore. I know now how\nmuch humans need their rest.,95,,,
4,78,95,0,Dot,Sub,anim_eyesblink,text,"욕심을 내기보다는 <nickname>, 나는 네가 푹 잠들면 좋겠어.",I'd prefer you have a good night's sleep.,96,,,
4,78,96,0,Dot,Default,anim_move,text,"그리고, 네가 꿈을 꾸지 못하면 달의 이들도 곤란해!","And if you don't dream, it will\ntrouble the Moon Beings too!",97,,,
4,78,97,0,Player,Sub,anim_eyesblink,text,응?,Huh?,98,,,
4,78,98,0,Dot,Sub,anim_eyesblink,text,공들여 준비한 선물은 받아 줄 사람이 필요한 법이거든.,A generously prepared gift needs to be received by someone.,99,,,
4,78,99,0,Dot,Sub,anim_eyesblink,text,달빛에 비추어 가며 깨끗이 닦아 포장한 너의 꿈을 달게 받아 주길 바라.,"So take your well-wrapped, squeaky-clean dream with grace, please.",100,,,
4,78,100,0,Player,Sub,anim_eyesblink,selection,(악몽을 꾼 날에는 직원들을 탓하면 되겠어.)|(꿈을 더욱 소중히 여겨야겠어.),(Now I know who to blame for nightmares.)|(Now I know to cherish my dreams.),101|101,moon|sun,,
4,78,101,0,Player,Sub,anim_eyesblink,text,"응, 그래 볼게. 하지만 그럼에도 잠이 오지 않을 때는 어쩌면 좋을까?","Alright, I'll try. But what do I do\nwhen I still can't fall asleep?",102,,,
4,78,102,0,Dot,Sub,anim_eyescorer_turn,text,음... 음... 음음음.,Hm... Hm... Hm Hm Hm.,103,,,
4,78,103,0,Dot,Sub,anim_eyesblink,text,"<nickname>. 그럼 그런 날엔, 내가 몸을 늘이고 덮어서","<nickname>. Then I'll elongate my body to cover the window,",104,,,
4,78,104,0,Dot,Sub,anim_eyesblink,text,너에게 하나의 암막 커튼이 되어 주는 건 어때?,becoming a blackout curtain of sorts just for you. How's that?,105,,,
4,78,105,0,Player,Sub,anim_eyesblink,text,(납작해진 커튼 뭉치라....),(The Dot-out curtain...),106,,,
4,78,106,0,Player,Sub,anim_eyesblink,selection,흐를 테지. 끈적하지 않을까?|창문이 커서 네 몸이 찢어질 거야....,"You'll drip. Won't it be sticky?|The window is too big, your body'll rip...",107|107,sun|moon,,
4,78,107,0,Dot,Sub,anim_eyesup_turn,text,음... 그런가?,Hm... Will it?,108,,,
4,78,108,0,Dot,Default,anim_move,text,음...! 그렇지도.,Hm...! I guess it will.,109,,,
4,78,109,0,Dot,Sub,anim_eyesblink,text,.......,......,110,,,
4,78,110,0,Dot,Sub,anim_eyesblink,text,그렇다면 나는 아쉬움을 그러안고 너를 온 마음으로 쓰다듬어 줄 거야.,Then I'll embrace my regret and stroke you with all my heart.,111,,,
4,78,111,0,Dot,Sub,anim_eyesblink,text,창틀 새로 삐져나오는 빛먼지 한 톨도 네게 닿지 못하게 할래.,I won't let a speck of light touch a single strand of your snoozing hair.,112,,,
4,78,112,0,Dot,Sub,anim_eyesblink,text,마음으로.,With all my heart.,113,,,
4,78,113,0,Player,Sub,anim_eyesblink,text,마음으로?,With all your heart?,114,,,
4,78,114,0,Dot,Sub,anim_eyesblink,text,응. 그렇게 내가 너를 지켜주고 싶어.,Yes. That's how I\nwant to protect you.,115,,,
4,78,115,0,Dot,Sub,anim_eyesblink,text,가장 새카만 암막 커튼이 너를 덮어 주길 바라.,I wish the blackest blackout\ncurtain would cover you.,116,,,
4,78,116,0,Dot,Sub,anim_eyesblink,text,그러니까... 나와 너의 안정된 풍경을 허공에 덧그릴 수 있도록,So that... A comfortable scene of you and I can be drawn before us.,117,,,
4,78,117,0,Dot,Sub,anim_eyesblink,text,"이제 눈을 감아, <nickname>.","Now close your eyes, <nickname>.",,,anim_sleepy_spiderweb,
