Start Time,End Time,KorText,EngText
00:01:33:03,00:01:37:11,레드는 이제 폐기물 속을 헤맵니다.,"Now Red rakes through the filth, a servant in gloom,"
00:01:37:11,00:01:41:11,"형벌을 받드는 하인이 되어, 영원한 밤을 짊어진 듯이.","bound to his punishment, an endless doom. "
00:01:44:20,00:01:46:23,"그러던 어느 운명적인 하루,","Until one fateful day,"
00:01:46:23,00:01:50:15,"레드가 바닥을 쓸고 있던 지루한 오후에,","as Red idled through yet another uneventful afternoon, "
00:01:51:02,00:01:55:01,크레이터의 웅덩이 하나가 보글거리기 시작했습니다.,a corner of the Crater began to bubble…
00:01:55:01,00:01:58:01,마치... ‘살아 있는’ 것처럼요.,unmistakably alive.
00:01:59:09,00:02:03:00,별안간 아주 기상천외한 생각에 사로잡혔던 레드는,"Struck by a most peculiar idea,"
00:02:03:12,00:02:05:21,분필을 집어들고... ,Red picked up a piece of chalk
00:02:05:21,00:02:08:21,그것에게 눈을 그려 주었습니다.,and drew a pair of eyes on the thing.
00:02:10:04,00:02:13:16,그렇게 버려진 악몽들의 잔해가 뭉친 곳에서 태어난,"And so from the shards of dreams discarded,"
00:02:14:10,00:02:17:23,검고 끈적한 덩어리.,was born a sticky black lump
00:02:21:17,00:02:24:17,"그것이 기묘하게 사랑스럽다고 느끼던 레드와는 달리,","While Red thought it oddly endearing,"
00:02:24:17,00:02:28:17,다른 청소부들은 그것을 아주 경멸하는 듯했습니다.,all the other cleaners seemed to find the creature horrifying.
00:02:29:05,00:02:29:16,괴물!,MONSTER!  
00:02:29:16,00:02:30:14,폐기물에서 나온 괴물이다!,MONSTER FROM FILTH! 
00:02:31:13,00:02:32:11,아니다! 해치지 않는다!,But it’s harmless!
00:02:33:13,00:02:34:04,눈이 짝짝이다!,Crooked Eyes!
00:02:34:04,00:02:34:15,저주받은 거다!,CURSED! 
00:02:35:05,00:02:36:04,야! 내가 그렸다!,"Hey, I drew them!"
00:02:39:00,00:02:42:15,그들은 그것을 우주로 추방하기로 결정했습니다.,"In the end, it was sentenced banishment to space… "
00:02:42:22,00:02:45:17,그것에게 죽음의 선고가 내려진 것입니다.,and certain death.
00:02:47:23,00:02:53:00,그 ‘검은 것’은 새까만 우주를 오래도록 바라보다가,The black thing stared at the Pitch Black for a very long time…
00:02:53:18,00:02:56:18,마지막 유언을 속삭였습니다.,and murmured its last words.
00:02:56:19,00:02:59:21,“저 밖엔 나를 꿈으로 삼아 줄 다른 존재가 있을지도 몰라.”,
00:03:00:10,00:03:04:05,"그 순간, 그것의 찌그러진 눈동자 속에서","In that second, gazing into its crooked eyes,"
00:03:04:05,00:03:07:05,소년 레드와 그의 두 친구들은 무언가를 발견했습니다.,Red and his two friends found something
00:03:07:08,00:03:10:08,정말 오래도록 잊고 있었던... ,they had not felt in a long time...
00:03:11:09,00:03:12:06,희망을요.,Hope.
00:03:13:11,00:03:16:01,그리하여 그들은 만반의 준비를 갖추기 시작했고,So they began their preparations
00:03:17:01,00:03:18:12,"마침내 모든 준비가 끝났을 때,","And when all was ready,"
00:03:18:12,00:03:23:22,그 검은 덩어리는 지구로 쏘아 올려집니다.,the three moon musketeers launched the black thing to Earth.
00:03:24:04,00:03:27:17,"달 삼총사의 꿈과 희망, 그리고 눈알을 품은 채.","Along with their dreams, hopes, and their eyeballs"
00:03:27:17,00:03:32:03,오로지 인간의 아름다운 꿈이 되기 위하여!,all for the black thing to become a beautiful human dream!
00:03:35:21,00:03:39:14,"- 끝 - \n은 또 다른 시작일 뿐",
